ALBH	48.39	-123.487	309 	 5.153196 	 4.208424 	 4.100017 	 -0.438236 	 -0.316815 	 0.121420 	 0.633014 	 0   0.97424
BRAZ	-15.947	-47.878	309 	 8.805723 	 7.752699 	 4.023207 	 -1.135051 	 -0.818736 	 0.316315 	 0.889573 	 0   0.518943
BREW	48.132	-119.683	307 	 5.451114 	 4.062236 	 3.975547 	 -0.698319 	 -0.311950 	 0.386369 	 0.686683 	 0   0.97866
COST	44.162	28.658	192 	 5.493261 	 3.934496 	 3.730777 	 0.017425 	 0.319971 	 0.302546 	 0.734215 	 0   0.948222
CUIB	-15.555	-56.07	307 	 8.496833 	 8.293237 	 4.797803 	 -1.119150 	 -0.314514 	 0.804636 	 0.836961 	 0   0.57852
DARW	-12.844	131.133	299 	 6.272015 	 4.987174 	 4.372923 	 -0.288266 	 -0.585607 	 -0.297340 	 0.720719 	 0   0.876834
DJOU	9.692	1.662	193 	 8.713044 	 6.127401 	 4.987990 	 -1.140589 	 -0.814590 	 0.325999 	 0.829602 	 0   0.814047
HYDE	17.417	78.551	300 	 7.054329 	 5.136955 	 4.514934 	 -0.711866 	 -0.434910 	 0.276955 	 0.769463 	 0   0.878913
IDNP	45.94	-116.121	230 	 4.778968 	 3.965968 	 3.020547 	 -0.462749 	 -0.262617 	 0.200132 	 0.776747 	 0   0.761617
KELY	66.987	-50.945	295 	 8.550873 	 8.891506 	 3.790575 	 2.907943 	 3.316982 	 0.409039 	 0.906271 	 0   0.426314
NAUS	-3.023	-60.055	192 	 21.454229 	 18.628262 	 4.786292 	 1.170331 	 1.053512 	 -0.116820 	 0.981331 	 0   0.256937
P020	47.002	-118.566	235 	 5.151813 	 3.844734 	 3.567214 	 -0.830010 	 -0.244463 	 0.585547 	 0.721907 	 0   0.927818
P021	48.675	-118.73	199 	 4.965644 	 4.175640 	 3.178966 	 0.154562 	 0.036711 	 -0.117851 	 0.771357 	 0   0.761312
P022	45.232	-118.014	206 	 5.503557 	 3.958020 	 3.539438 	 -0.685165 	 -0.072755 	 0.612410 	 0.767276 	 0   0.894245
P095	39.698	-119.537	199 	 4.497000 	 3.408481 	 3.037235 	 0.270340 	 0.361838 	 0.091498 	 0.737736 	 0   0.891082
P127	39.499	-119.6	204 	 4.563605 	 3.421217 	 3.040145 	 -0.013432 	 0.382538 	 0.395969 	 0.745808 	 0   0.888615
P380	42.26	-121.78	220 	 4.524492 	 3.247133 	 3.234365 	 -0.689167 	 0.205011 	 0.894178 	 0.699507 	 0   0.996068
P423	47.288	-122.941	217 	 5.083420 	 3.616829 	 3.484505 	 -0.977686 	 -0.308840 	 0.668845 	 0.728300 	 0   0.963414
P436	48.045	-123.134	188 	 4.892439 	 4.144501 	 3.620359 	 -0.153086 	 0.042736 	 0.195822 	 0.690591 	 0   0.873533
P439	48.708	-122.909	202 	 5.625764 	 4.703518 	 3.777407 	 -0.341206 	 -0.185104 	 0.156101 	 0.746451 	 0   0.803102
P440	48.856	-122.493	181 	 5.832654 	 4.842531 	 3.547896 	 -0.006782 	 0.018601 	 0.025383 	 0.794525 	 0   0.732653
P453	47.759	-118.745	200 	 5.242257 	 4.016244 	 3.538162 	 -0.752368 	 -0.010210 	 0.742158 	 0.738402 	 0   0.880963
P454	47.954	-118.993	205 	 4.741271 	 3.996693 	 3.547053 	 -0.526634 	 -0.006202 	 0.520432 	 0.682650 	 0   0.887497
P460	45.14	-111.029	202 	 4.242098 	 3.161870 	 3.031408 	 -0.299981 	 -0.584773 	 -0.284792 	 0.700941 	 0   0.958739
PTRE	-18.194	-69.574	198 	 4.036067 	 3.867830 	 2.617573 	 -0.401666 	 0.123780 	 0.525446 	 0.781453 	 0   0.676755
QAQ1	60.715	-46.048	306 	 9.286943 	 10.054831 	 4.532648 	 3.208538 	 3.931141 	 0.722603 	 0.893149 	 0   0.450793
SC00	46.951	-120.725	306 	 5.360766 	 3.733098 	 3.560787 	 -0.188504 	 -0.278883 	 -0.090379 	 0.749406 	 0   0.953842
SC02	48.546	-123.008	309 	 5.112197 	 4.366778 	 3.521102 	 -0.260108 	 -0.314743 	 -0.054635 	 0.734756 	 0   0.806339
SHIN	40.592	-120.225	309 	 4.382321 	 3.332226 	 2.789712 	 -0.333489 	 -0.005118 	 0.328371 	 0.771285 	 0   0.837192
UPSA	39.627	-118.802	305 	 3.907755 	 3.228663 	 3.039346 	 -0.098203 	 -0.005478 	 0.092725 	 0.652192 	 0   0.941364
VICO	-20.761	-42.87	252 	 5.946407 	 4.865776 	 4.278796 	 -0.076058 	 -0.316609 	 -0.240551 	 0.703802 	 0   0.879366
