Station_code Lat Lon no_of_data_points rms_gps rms_grace rms_diff slope_gps slope_grace slope_diff corr_coeff error_message
AGGO -34.8737069967 -58.1398569796 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AGMT 34.5942818822 -116.4293773093 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AIRA 31.8240594213 130.5995961472 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AIS1 55.0690727737 -131.5995345266 42 6.075857 4.520372 4.126723 0.399349 0.009401 -0.389948 0.734021 0
AIS2 55.0688840291 -131.5992091141 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AJAC 41.9274575435 8.7626148672 276 4.514920 2.075127 3.719318 0.401653 -0.026624 -0.428278 0.579427 0
ALAC 38.3389205801 -.4812292545 299 5.089373 1.859072 4.789365 -0.520677 0.049337 0.570014 0.339261 0
ALBH 48.3897814051 -123.4874701644 309 6.653113 4.208424 5.024111 -0.845070 -0.316815 0.528254 0.655968 0
ALGA 45.9559020176 -78.0713663803 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
ALGO 45.9558002862 -78.0713674680 309 9.879541 2.748984 10.822920 3.198657 -0.690560 -3.889217 -0.220433 0
ALIC -23.6701188282 133.8855165080 307 6.386227 2.583931 5.807580 -1.117436 0.070756 1.188192 0.416100 0
ALON 31.7079370159 34.6066461194 18 5.250454 1.935338 4.628911 3.226583 0.679987 -2.546596 0.486447 0
ALRT 82.4942939716 -62.3404664131 291 16.252717 5.030084 12.214600 6.184389 1.902765 -4.281624 0.857809 0
AMC2 38.8031243497 -104.5245938469 309 3.995581 2.225865 3.689174 -1.006793 -0.209310 0.797483 0.410920 0
AML5 35.1535628102 -101.8784636552 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AMMN 32.0285456620 35.8795387686 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
ANA1 34.0150047507 -119.3634683387 18 9.054885 2.383153 7.895462 3.386909 1.006076 -2.380833 0.586956 0
ANKR 39.8873709575 32.7584698822 285 27.033434 3.650853 27.358496 -3.211197 0.283275 3.494472 -0.022048 0
ANTC -37.3387023875 -71.5320507345 212 13.357818 2.882734 11.597921 4.032366 0.564462 -3.467904 0.678184 0
ANTO 29.4912112550 -98.5766415992 14 5.927942 2.128130 6.192360 -38.042102 -4.854566 33.187536 0.052480 0
AOA1 34.1574418482 -118.8303128635 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AOML 25.7346915142 -80.1621988046 52 4.580661 2.213122 4.478901 3.134787 0.485103 -2.649685 0.287042 0
AQUI 42.3682389746 13.3502471859 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AREG -16.4654231078 -71.4929040819 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AREL 32.1023624937 35.2092751690 13 5.030729 2.196086 4.324956 3.155794 1.655023 -1.500770 0.517102 0
AREQ -16.4655156635 -71.4927943975 298 8.971832 3.332441 8.081541 2.646130 -0.059618 -2.705748 0.439620 0
ARL5 32.7590333361 -97.0602828359 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
ARP1 27.8383756157 -97.0590832760 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
ARP3 27.8383518114 -97.0589577386 132 4.744098 2.166858 4.791047 -0.548847 0.690483 1.239330 0.206600 0
ARTU 56.4298215478 58.5604568452 284 8.841939 3.937524 7.889648 0.420845 0.275330 -0.145515 0.451488 0
ASC1 -7.9512140109 -14.4120721734 91 4.128231 1.880944 4.429845 -1.286824 0.164867 1.451691 0.061604 0
ASHV 35.5994545530 -82.5462034382 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
ASPA -14.3260952876 -170.7224348309 290 33.627200 1.221834 33.467353 -10.118009 -0.053769 10.064240 0.148682 0
ATL1 33.9356278140 -84.5203958019 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
ATW2 61.5977546933 -149.1322886743 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
ATWC 61.5981607658 -149.1323318215 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AUCK -36.6028432077 174.8343856372 309 6.533915 1.643221 7.015332 -1.767607 0.310872 2.078479 -0.178018 0
AUGL 59.3703001061 -153.3539097413 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AUS5 30.3116962409 -97.7563169113 4 19.501586 2.282508 19.213164 112.450220 2.290577 -110.159643 0.183949 0
AUTF -54.8395253138 -68.3035673023 118 6.622574 2.332313 6.430601 1.761941 0.595647 -1.166294 0.257206 0
AV01 59.3585289077 -153.4608015511 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV02 59.3329726887 -153.4283915276 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV04 59.3625809178 -153.4446736283 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV06 54.1471789418 -165.7657206103 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV07 54.1629366380 -166.0385367571 2 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV08 54.1362988947 -166.0282714977 6 13.819701 1.732657 15.303081 10.046509 -0.978086 -11.024596 -0.839390 0
AV09 53.8756342673 -166.5418363897 12 11.796093 1.676937 13.105458 6.216798 -0.871215 -7.088013 -0.753062 0
AV10 54.0976090580 -165.9337647341 9 10.847819 1.768753 12.228955 8.107495 -1.064157 -9.171652 -0.749036 0
AV11 59.3706260989 -153.3546862088 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV12 54.2107989352 -165.8975459819 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV13 54.1530809758 -165.8978152947 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV14 54.1188944268 -165.8415686006 3 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AV15 54.1001934750 -165.7101129288 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AZCN 36.8397929491 -107.9109623987 301 538.508486 1.916919 538.916992 106.290279 -0.143662 -106.433941 -0.211407 0
AZRY 33.5400715135 -116.6296945566 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
AZU1 34.1260173035 -117.8964829759 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BAHR 26.2091406573 50.6081450472 211 5.794681 1.452711 5.859487 -0.122169 0.050751 0.172920 0.080489 0
BAIE 49.1868264587 -68.2633282697 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BAKE 64.3178199689 -96.0023454737 203 31.941925 4.453910 35.482378 12.674175 -1.552860 -14.227035 -0.769244 0
BAKO -6.4910545060 106.8489105315 297 13.379378 2.045167 13.359107 -4.770245 -0.006648 4.763598 0.086334 0
BAKU 40.3721715048 49.8144137499 128 6.345778 3.247607 6.804219 1.906229 1.109988 -0.796241 0.109625 0
BAMF 48.8353288202 -125.1351050390 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BAN2 13.0343193998 77.5116178065 251 6.280801 3.655167 4.804033 0.063873 -0.270817 -0.334690 0.647504 0
BAR1 33.4804514179 -119.0297355566 124 5.415343 1.861058 5.718095 -0.929630 0.091978 1.021607 0.004607 0
BARB 13.0879143404 -59.6090776522 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BARH 44.3950477284 -68.2216897103 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BARN 44.0990887511 -71.1595593228 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BAY1 55.1902720649 -162.7071586019 176 5.089499 1.894568 4.980215 2.382066 0.263274 -2.118791 0.243189 0
BAY2 55.1904194114 -162.7067633223 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BAYR 43.4462302698 -83.8917332018 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BBDM 34.5821970761 -119.9815104656 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BBRY 34.2642783773 -116.8842399588 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BCOV 50.5442805293 -126.8426434755 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BDOS 13.0879538225 -59.6090970900 54 5.885315 1.758554 5.978468 -2.496459 0.400247 2.896707 0.096011 0
