station lat lon no_points slope intercept r_value p_value standard_deviation
ALRT 	 82.4942939716 	 -62.3404664131 	 291 	 6.184389e-03 	 6.572994e+01 	 0.9022 	 1.5735e-107 	 1.73960e-04
ARTU 	 56.4298215478 	 58.5604568452 	 284 	 4.208446e-04 	 2.467289e+02 	 0.1159 	 5.1003e-02 	 2.14737e-04
BAKE 	 64.3178199689 	 -96.0023454737 	 203 	 1.267417e-02 	 -2.097366e+01 	 0.9695 	 1.2111e-124 	 2.26176e-04
BILI 	 68.0761299092 	 166.4379624918 	 210 	 -2.514766e-05 	 4.561891e+02 	 -0.0060 	 9.3157e-01 	 2.92502e-04
BOR1 	 52.2769565039 	 17.0734558371 	 308 	 -2.828547e-04 	 1.249340e+02 	 -0.1258 	 2.7301e-02 	 1.27537e-04
BRUS 	 50.7978177312 	 4.3592186653 	 309 	 7.734196e-04 	 1.481289e+02 	 0.3760 	 8.1676e-12 	 1.08775e-04
CAS1 	 -66.2833592932 	 110.5197059271 	 305 	 1.407868e-03 	 1.963566e+01 	 0.5713 	 8.0295e-28 	 1.16191e-04
CHUR 	 58.7590778287 	 -94.0887272146 	 293 	 1.021655e-02 	 -3.983243e+01 	 0.9653 	 1.0715e-171 	 1.62068e-04
DAV1 	 -68.5773229419 	 77.9726133689 	 291 	 3.610463e-04 	 4.367994e+01 	 0.1009 	 8.5625e-02 	 2.09321e-04
DUBO 	 50.2588090408 	 -95.8661803517 	 307 	 8.858247e-04 	 2.434958e+02 	 0.3129 	 2.1359e-08 	 1.53985e-04
FAIR 	 64.9779998801 	 -147.4992390371 	 309 	 2.499551e-03 	 3.139905e+02 	 0.6877 	 1.3227e-44 	 1.50591e-04
FLIN 	 54.7255841715 	 -101.9780337470 	 308 	 2.794053e-03 	 3.059156e+02 	 0.6229 	 1.7075e-34 	 2.00591e-04
HERS 	 50.8673133527 	 0.3362709212 	 308 	 -4.969034e-04 	 7.748690e+01 	 -0.2196 	 1.0181e-04 	 1.26183e-04
HOFN 	 64.2672919055 	 -15.1979206813 	 304 	 1.243971e-02 	 5.776780e+01 	 0.9853 	 5.1361e-234 	 1.23922e-04
HOLM 	 70.7363039954 	 -117.7612361053 	 309 	 2.802294e-03 	 -5.193405e+00 	 0.7670 	 4.0256e-61 	 1.33784e-04
IRKJ 	 52.2190205375 	 104.3161829897 	 288 	 -8.726983e-04 	 5.038094e+02 	 -0.2557 	 1.1142e-05 	 1.95105e-04
IRKM 	 52.2190240671 	 104.3162413430 	 192 	 6.182578e-04 	 5.011061e+02 	 0.1233 	 8.8314e-02 	 3.60887e-04
IRKT 	 52.2190243131 	 104.3162397997 	 307 	 2.566051e-04 	 5.018318e+02 	 0.0791 	 1.6681e-01 	 1.85162e-04
JOZ2 	 52.0978361021 	 21.0323517842 	 285 	 2.689423e-03 	 1.471186e+02 	 0.6548 	 2.8153e-36 	 1.84538e-04
JOZE 	 52.0972746001 	 21.0315380601 	 303 	 2.434888e-04 	 1.409575e+02 	 0.1072 	 6.2486e-02 	 1.30224e-04
KELY 	 66.9874182997 	 -50.9448377012 	 293 	 2.776747e-03 	 2.242507e+02 	 0.8096 	 2.6365e-69 	 1.18004e-04
KIRU 	 67.8573512590 	 20.9684463241 	 307 	 7.182345e-03 	 3.765839e+02 	 0.7917 	 2.9573e-67 	 3.17299e-04
KRTV 	 50.7139505361 	 78.6190637763 	 281 	 1.803672e-03 	 1.225559e+02 	 0.4445 	 4.8754e-15 	 2.17605e-04
LAMA 	 53.8923999264 	 20.6699413861 	 296 	 1.535605e-03 	 1.839420e+02 	 0.4913 	 2.1533e-19 	 1.58759e-04
MAC1 	 -54.4995310456 	 158.9358326618 	 295 	 -1.394393e-03 	 -3.992456e+00 	 -0.6627 	 1.1083e-38 	 9.20490e-05
MAR6 	 60.5951438515 	 17.2585265733 	 299 	 7.999544e-03 	 5.940737e+01 	 0.9573 	 4.7393e-162 	 1.40252e-04
MAW1 	 -67.6047665451 	 62.8707154322 	 297 	 -2.936322e-04 	 5.972397e+01 	 -0.1796 	 1.8880e-03 	 9.36447e-05
MCM4 	 -77.8383491903 	 166.6693275004 	 309 	 -1.316865e-03 	 1.006255e+02 	 -0.4284 	 3.1849e-15 	 1.58523e-04
MDVJ 	 56.0214925392 	 37.2145047429 	 301 	 1.334359e-03 	 2.544460e+02 	 0.1108 	 5.4924e-02 	 6.92447e-04
METS 	 60.2174717805 	 24.3953191398 	 288 	 3.024174e-03 	 8.855593e+01 	 0.6583 	 3.7131e-37 	 2.04458e-04
MORP 	 55.2127903300 	 -1.6854962886 	 283 	 1.755921e-03 	 1.409241e+02 	 0.6445 	 1.2756e-34 	 1.24256e-04
