BAHR 	 26.2091406573 	 50.6081450472 	 211 	 -1.221692e-04 	 -1.682768e+01 	 -0.0360 	 6.0341e-01 	 2.34810e-04
CKIS 	 -21.2010268373 	 -159.8006109254 	 273 	 -5.469932e-04 	 1.951281e+01 	 -0.2436 	 4.7581e-05 	 1.32316e-04
KIT3 	 39.1347667824 	 66.8854447919 	 298 	 -1.467964e-03 	 6.254422e+02 	 -0.4527 	 1.8275e-16 	 1.68045e-04
KOKB 	 22.1262618496 	 -159.6649262566 	 303 	 -3.735719e-04 	 1.168114e+03 	 -0.1859 	 1.1525e-03 	 1.13828e-04
NKLG 	 0.3539065644 	 9.6721250376 	 300 	 2.925518e-04 	 3.092461e+01 	 0.0751 	 1.9482e-01 	 2.25147e-04
S021 	 -34.7289984170 	 138.6473460433 	 201 	 -3.870910e-04 	 3.883072e+01 	 -0.1101 	 1.1961e-01 	 2.47639e-04
S031 	 -34.5737013046 	 -58.5192992623 	 204 	 2.000726e-03 	 4.465710e+01 	 0.5307 	 3.2074e-16 	 2.24793e-04
S041 	 51.4537435281 	 -1.2838901371 	 202 	 3.196011e-04 	 1.623805e+02 	 0.1184 	 9.3255e-02 	 1.89503e-04
S061 	 -0.2151572535 	 -78.4936080994 	 211 	 -8.264680e-04 	 2.924204e+03 	 -0.3177 	 2.4730e-06 	 1.70609e-04
S111 	 -41.2726474280 	 174.7787057234 	 211 	 -5.947505e-04 	 4.799743e+01 	 -0.2258 	 9.5684e-04 	 1.77506e-04
S121 	 -25.7463454992 	 28.2240380027 	 211 	 -1.757952e-04 	 1.416675e+03 	 -0.0584 	 3.9876e-01 	 2.07901e-04
S131 	 37.0775676794 	 127.0240328153 	 210 	 1.391064e-03 	 4.601322e+01 	 0.4958 	 1.9886e-14 	 1.68946e-04
S141 	 -17.5770294092 	 -149.6061876488 	 203 	 -2.347750e-04 	 1.002970e+02 	 -0.1003 	 1.5449e-01 	 1.64268e-04
SEY1 	 -4.6737190231 	 55.4794043347 	 212 	 -1.949037e-03 	 5.411179e+02 	 -0.5260 	 1.7548e-16 	 2.17467e-04
SHAO 	 31.0996427419 	 121.2004435914 	 220 	 -2.638469e-03 	 2.735484e+01 	 -0.7646 	 1.7905e-43 	 1.50616e-04
TRAB 	 40.9947078901 	 39.7755611943 	 184 	 -6.525410e-05 	 9.942039e+01 	 -0.0144 	 8.4621e-01 	 3.35967e-04
