site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NWE2 13MAR21 2013.2183 56372 1732 4 -122.9  -3037 -0.288840   5451897  0.437895     1  0.743991  0.0000 0.000786 0.001206 0.003220 -0.032956 -0.018667 -0.184418
NWE2 13MAR22 2013.2211 56373 1732 5 -122.9  -3037 -0.288459   5451897  0.434847     1  0.731596  0.0000 0.000450 0.000624 0.001786 -0.055596  0.083090 -0.065129
NWE2 13MAR23 2013.2238 56374 1732 6 -122.9  -3037 -0.287233   5451897  0.438016     1  0.733852  0.0000 0.000450 0.000632 0.001806 -0.042256  0.082635 -0.084997
NWE2 13MAR25 2013.2293 56376 1733 1 -122.9  -3037 -0.288279   5451897  0.437003     1  0.739387  0.0000 0.000450 0.000627 0.001770 -0.057179  0.079216 -0.066037
NWE2 13MAR26 2013.2320 56377 1733 2 -122.9  -3037 -0.287860   5451897  0.437263     1  0.741017  0.0000 0.000447 0.000626 0.001765 -0.057478  0.078648 -0.049279
NWE2 13MAR27 2013.2348 56378 1733 3 -122.9  -3037 -0.288475   5451897  0.439155     1  0.739594  0.0000 0.000445 0.000623 0.001767 -0.058780  0.076728 -0.062990
NWE2 13MAR28 2013.2375 56379 1733 4 -122.9  -3037 -0.290768   5451897  0.435755     1  0.740438  0.0000 0.000461 0.000633 0.001820 -0.049635  0.081047 -0.072220
NWE2 13MAR29 2013.2402 56380 1733 5 -122.9  -3037 -0.289817   5451897  0.436703     1  0.740408  0.0000 0.000462 0.000640 0.001819 -0.044570  0.067905 -0.095560
NWE2 13MAR30 2013.2430 56381 1733 6 -122.9  -3037 -0.287239   5451897  0.435912     1  0.736082  0.0000 0.000462 0.000639 0.001808 -0.056232  0.071356 -0.081394
NWE2 13MAR31 2013.2457 56382 1734 0 -122.9  -3037 -0.286652   5451897  0.436194     1  0.745302  0.0000 0.000460 0.000640 0.001810 -0.057376  0.067031 -0.074709
NWE2 13APR01 2013.2485 56383 1734 1 -122.9  -3037 -0.288135   5451897  0.431847     1  0.744589  0.0000 0.000459 0.000637 0.001812 -0.048053  0.059436 -0.075466
NWE2 13APR02 2013.2512 56384 1734 2 -122.9  -3037 -0.287332   5451897  0.434970     1  0.747174  0.0000 0.000461 0.000646 0.001847 -0.041113  0.073908 -0.100165
NWE2 13APR03 2013.2539 56385 1734 3 -122.9  -3037 -0.284715   5451897  0.434906     1  0.743683  0.0000 0.000463 0.000643 0.001842 -0.049531  0.077511 -0.101059
NWE2 13APR04 2013.2567 56386 1734 4 -122.9  -3037 -0.284709   5451897  0.435903     1  0.744283  0.0000 0.000472 0.000652 0.001867 -0.040964  0.076960 -0.090214
NWE2 13APR05 2013.2594 56387 1734 5 -122.9  -3037 -0.287176   5451897  0.434407     1  0.740971  0.0000 0.000465 0.000640 0.001844 -0.071810  0.090591 -0.096997
NWE2 13APR06 2013.2621 56388 1734 6 -122.9  -3037 -0.288704   5451897  0.434174     1  0.743693  0.0000 0.000462 0.000641 0.001824 -0.058224  0.064607 -0.085724
NWE2 13APR07 2013.2649 56389 1735 0 -122.9  -3037 -0.290594   5451897  0.434937     1  0.737063  0.0000 0.000501 0.000693 0.002004 -0.069589  0.056807 -0.109791
NWE2 13APR08 2013.2676 56390 1735 1 -122.9  -3037 -0.291402   5451897  0.435498     1  0.733476  0.0000 0.000460 0.000642 0.001833 -0.054533  0.085106 -0.091992
NWE2 13APR09 2013.2704 56391 1735 2 -122.9  -3037 -0.289305   5451897  0.432649     1  0.752642  0.0000 0.000463 0.000649 0.001845 -0.057596  0.065726 -0.099512
NWE2 13APR10 2013.2731 56392 1735 3 -122.9  -3037 -0.289216   5451897  0.431445     1  0.747164  0.0000 0.000474 0.000665 0.001898 -0.088546  0.098819 -0.116602
NWE2 13APR11 2013.2758 56393 1735 4 -122.9  -3037 -0.289577   5451897  0.433449     1  0.741777  0.0000 0.000474 0.000658 0.001898 -0.076603  0.083664 -0.102424
NWE2 13APR12 2013.2786 56394 1735 5 -122.9  -3037 -0.290106   5451897  0.435059     1  0.742965  0.0000 0.000475 0.000657 0.001894 -0.079750  0.075644 -0.066201
