site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LCNG 13JUL21 2013.5524 56494 1750 0   35.2   4728  0.418334  -1471044 -0.186770  1360  0.218373  0.1770 0.001522 0.001183 0.005111  0.161953 -0.109440  0.286073
LCNG 13JUL22 2013.5551 56495 1750 1   35.2   4728  0.422050  -1471044 -0.188143  1360  0.219752  0.1770 0.000780 0.000690 0.002934  0.097621  0.112671  0.085793
LCNG 13JUL23 2013.5578 56496 1750 2   35.2   4728  0.420480  -1471044 -0.190032  1360  0.218805  0.1770 0.000749 0.000636 0.002724  0.090562  0.166442  0.108737
LCNG 13JUL24 2013.5606 56497 1750 3   35.2   4728  0.416734  -1471044 -0.189172  1360  0.216234  0.1770 0.000741 0.000623 0.002667  0.096319  0.165468  0.122095
LCNG 13JUL25 2013.5633 56498 1750 4   35.2   4728  0.417041  -1471044 -0.188493  1360  0.219973  0.1770 0.000742 0.000631 0.002675  0.092985  0.165373  0.103116
LCNG 13JUL26 2013.5661 56499 1750 5   35.2   4728  0.420803  -1471044 -0.189673  1360  0.214799  0.1770 0.000740 0.000624 0.002646  0.101303  0.144635  0.136714
LCNG 13JUL27 2013.5688 56500 1750 6   35.2   4728  0.419626  -1471044 -0.191037  1360  0.213089  0.1770 0.000765 0.000644 0.002778  0.099014  0.200050  0.080617
LCNG 13JUL28 2013.5715 56501 1751 0   35.2   4728  0.419304  -1471044 -0.188948  1360  0.222603  0.1770 0.000745 0.000622 0.002656  0.103373  0.160204  0.124472
LCNG 13JUL29 2013.5743 56502 1751 1   35.2   4728  0.419754  -1471044 -0.188354  1360  0.221822  0.1770 0.000619 0.000621 0.002626  0.037152  0.185229  0.102705
LCNG 14JUN24 2014.4778 56832 1798 2   35.2   4728  0.431017  -1471044 -0.172334  1360  0.214999  0.1770 0.000559 0.000529 0.002395  0.079999  0.157619  0.141839
LCNG 14JUN25 2014.4805 56833 1798 3   35.2   4728  0.436875  -1471044 -0.172632  1360  0.216157  0.1770 0.000625 0.000589 0.002626  0.066178  0.177942  0.118685
LCNG 14JUN26 2014.4832 56834 1798 4   35.2   4728  0.435128  -1471044 -0.168539  1360  0.212945  0.1770 0.000557 0.000524 0.002414  0.090540  0.200503  0.126709
