site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CFHS 15AUG05 2015.5921 57239 1856 3  -95.6  -3083 -0.636828   3311160  0.374750    15  0.712767  0.0000 0.000919 0.000999 0.003906 -0.016098  0.169184  0.114199
CFHS 15AUG06 2015.5948 57240 1856 4  -95.6  -3083 -0.636336   3311160  0.375745    15  0.718428  0.0000 0.000556 0.000608 0.002327  0.084079  0.197508  0.138186
CFHS 15AUG07 2015.5975 57241 1856 5  -95.6  -3083 -0.639005   3311160  0.379419    15  0.716867  0.0000 0.000564 0.000607 0.002343  0.078100  0.196709  0.117954
CFHS 15AUG08 2015.6003 57242 1856 6  -95.6  -3083 -0.638295   3311160  0.376108    15  0.719803  0.0000 0.000591 0.000625 0.002407  0.086514  0.189152  0.108762
CFHS 15AUG09 2015.6030 57243 1857 0  -95.6  -3083 -0.635065   3311160  0.376072    15  0.717102  0.0000 0.000579 0.000640 0.002507  0.077128  0.186930  0.119666
CFHS 15AUG10 2015.6057 57244 1857 1  -95.6  -3083 -0.639155   3311160  0.376967    15  0.714846  0.0000 0.000579 0.000619 0.002390  0.085699  0.177041  0.115510
CFHS 15AUG11 2015.6085 57245 1857 2  -95.6  -3083 -0.635246   3311160  0.375679    15  0.717604  0.0000 0.000568 0.000610 0.002332  0.081042  0.174546  0.142657
CFHS 15AUG12 2015.6112 57246 1857 3  -95.6  -3083 -0.639337   3311160  0.377169    15  0.705007  0.0000 0.000568 0.000613 0.002358  0.081056  0.186813  0.117150
CFHS 15AUG13 2015.6140 57247 1857 4  -95.6  -3083 -0.638238   3311160  0.376090    15  0.724406  0.0000 0.000577 0.000615 0.002371  0.084287  0.199301  0.099978
CFHS 15AUG14 2015.6167 57248 1857 5  -95.6  -3083 -0.639244   3311160  0.378448    15  0.715100  0.0000 0.000567 0.000600 0.002361  0.082118  0.186369  0.123730
CFHS 15AUG15 2015.6194 57249 1857 6  -95.6  -3083 -0.636184   3311160  0.374368    15  0.701353  0.0000 0.000559 0.000599 0.002333  0.052690  0.209043  0.121205
CFHS 15AUG16 2015.6222 57250 1858 0  -95.6  -3083 -0.641078   3311160  0.375708    15  0.709106  0.0000 0.000566 0.000603 0.002331  0.071221  0.176275  0.133980
CFHS 15AUG17 2015.6249 57251 1858 1  -95.6  -3083 -0.638772   3311160  0.377694    15  0.708929  0.0000 0.000560 0.000611 0.002318  0.087651  0.175599  0.112588
CFHS 15AUG18 2015.6277 57252 1858 2  -95.6  -3083 -0.639176   3311160  0.377127    15  0.716829  0.0000 0.000561 0.000606 0.002351  0.075225  0.185063  0.140113
CFHS 15AUG19 2015.6304 57253 1858 3  -95.6  -3083 -0.642835   3311160  0.377549    15  0.705885  0.0000 0.000565 0.000606 0.002351  0.072774  0.179190  0.120147
CFHS 15AUG20 2015.6331 57254 1858 4  -95.6  -3083 -0.638976   3311160  0.378116    15  0.715039  0.0000 0.000567 0.000603 0.002373  0.064377  0.211123  0.106053
CFHS 15AUG21 2015.6359 57255 1858 5  -95.6  -3083 -0.638274   3311160  0.377789    15  0.716103  0.0000 0.000555 0.000599 0.002317  0.056623  0.199465  0.116243
CFHS 15AUG22 2015.6386 57256 1858 6  -95.6  -3083 -0.638056   3311160  0.376167    15  0.726547  0.0000 0.000562 0.000606 0.002340  0.064590  0.168707  0.147386
CFHS 15AUG23 2015.6413 57257 1859 0  -95.6  -3083 -0.641412   3311160  0.377349    15  0.723980  0.0000 0.000561 0.000608 0.002329  0.068196  0.187401  0.127993
CFHS 15AUG24 2015.6441 57258 1859 1  -95.6  -3083 -0.638638   3311160  0.377841    15  0.707631  0.0000 0.000557 0.000599 0.002317  0.060577  0.184178  0.122734
CFHS 15AUG25 2015.6468 57259 1859 2  -95.6  -3083 -0.641410   3311160  0.375905    15  0.704631  0.0000 0.000573 0.000613 0.002351  0.081786  0.157377  0.103985
CFHS 15AUG26 2015.6496 57260 1859 3  -95.6  -3083 -0.640248   3311160  0.379552    15  0.703200  0.0000 0.000553 0.000601 0.002311  0.057389  0.196788  0.116804
CFHS 15AUG27 2015.6523 57261 1859 4  -95.6  -3083 -0.637974   3311160  0.377574    15  0.712368  0.0000 0.000555 0.000603 0.002326  0.049084  0.195333  0.126957
CFHS 15AUG28 2015.6550 57262 1859 5  -95.6  -3083 -0.639386   3311160  0.373892    15  0.710408  0.0000 0.000559 0.000603 0.002333  0.052300  0.202107  0.140231
CFHS 15AUG29 2015.6578 57263 1859 6  -95.6  -3083 -0.638203   3311160  0.374084    15  0.705718  0.0000 0.000563 0.000604 0.002330  0.062628  0.190637  0.110450
CFHS 15AUG30 2015.6605 57264 1860 0  -95.6  -3083 -0.640051   3311160  0.375925    15  0.711636  0.0000 0.000557 0.000602 0.002301  0.074303  0.193177  0.118601
CFHS 15AUG31 2015.6632 57265 1860 1  -95.6  -3083 -0.640199   3311160  0.373663    15  0.688190  0.0000 0.000559 0.000601 0.002320  0.071296  0.182735  0.126292
CFHS 15SEP01 2015.6660 57266 1860 2  -95.6  -3083 -0.639979   3311160  0.377844    15  0.704363  0.0000 0.000573 0.000618 0.002397  0.105832  0.167964  0.127342
CFHS 15SEP02 2015.6687 57267 1860 3  -95.6  -3083 -0.636081   3311160  0.378223    15  0.731818  0.0000 0.000582 0.000618 0.002413  0.090315  0.209588  0.101141
CFHS 15SEP03 2015.6715 57268 1860 4  -95.6  -3083 -0.635402   3311160  0.379033    15  0.716764  0.0000 0.000562 0.000601 0.002326  0.068279  0.195370  0.126945
CFHS 15SEP04 2015.6742 57269 1860 5  -95.6  -3083 -0.641212   3311160  0.376870    15  0.706770  0.0000 0.000566 0.000605 0.002313  0.095296  0.175366  0.126504
CFHS 15SEP05 2015.6769 57270 1860 6  -95.6  -3083 -0.637638   3311160  0.374971    15  0.713667  0.0000 0.000567 0.000601 0.002354  0.065617  0.207064  0.119337
CFHS 15SEP06 2015.6797 57271 1861 0  -95.6  -3083 -0.635507   3311160  0.375883    15  0.708635  0.0000 0.000561 0.000597 0.002326  0.068082  0.199345  0.134237
CFHS 15SEP07 2015.6824 57272 1861 1  -95.6  -3083 -0.634471   3311160  0.374667    15  0.716739  0.0000 0.000567 0.000605 0.002351  0.071199  0.197590  0.118310
CFHS 15SEP08 2015.6851 57273 1861 2  -95.6  -3083 -0.634504   3311160  0.375996    15  0.714226  0.0000 0.000565 0.000601 0.002368  0.056622  0.194095  0.126384
CFHS 15SEP09 2015.6879 57274 1861 3  -95.6  -3083 -0.638654   3311160  0.378812    15  0.707900  0.0000 0.000578 0.000606 0.002395  0.070492  0.208890  0.121620
CFHS 15SEP10 2015.6906 57275 1861 4  -95.6  -3083 -0.640636   3311160  0.378182    15  0.713612  0.0000 0.000574 0.000606 0.002374  0.084443  0.184490  0.125005
CFHS 15SEP11 2015.6934 57276 1861 5  -95.6  -3083 -0.639664   3311160  0.378149    15  0.713041  0.0000 0.000567 0.000620 0.002451  0.050448  0.213970  0.131158
CFHS 15SEP12 2015.6961 57277 1861 6  -95.6  -3083 -0.639766   3311160  0.373976    15  0.700579  0.0000 0.000558 0.000596 0.002349  0.067347  0.199635  0.111525
CFHS 15SEP13 2015.6988 57278 1862 0  -95.6  -3083 -0.636621   3311160  0.377283    15  0.712301  0.0000 0.000568 0.000600 0.002357  0.058495  0.196993  0.107207
CFHS 15SEP14 2015.7016 57279 1862 1  -95.6  -3083 -0.640220   3311160  0.376881    15  0.705752  0.0000 0.000561 0.000595 0.002341  0.056873  0.176216  0.119565
CFHS 15SEP15 2015.7043 57280 1862 2  -95.6  -3083 -0.637108   3311160  0.378451    15  0.709558  0.0000 0.000567 0.000598 0.002349  0.066062  0.177060  0.116169
CFHS 15SEP16 2015.7070 57281 1862 3  -95.6  -3083 -0.638662   3311160  0.377049    15  0.703439  0.0000 0.000561 0.000604 0.002348  0.071053  0.188875  0.131820
CFHS 15SEP17 2015.7098 57282 1862 4  -95.6  -3083 -0.641555   3311160  0.376177    15  0.705580  0.0000 0.000564 0.000606 0.002374  0.065447  0.181798  0.102958
