site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NCAB 16APR18 2016.2957 57496 1893 1  -79.5   2691  0.735633   3890774  0.597002   118  0.887637  0.0000 0.000971 0.000997 0.003530 -0.073941 -0.032763 -0.155113
NCAB 16APR19 2016.2984 57497 1893 2  -79.5   2691  0.736037   3890774  0.596909   118  0.897030  0.0000 0.000494 0.000574 0.001911 -0.058434  0.090186 -0.229464
NCAB 16APR20 2016.3012 57498 1893 3  -79.5   2691  0.734036   3890774  0.598083   118  0.900928  0.0000 0.000490 0.000574 0.001888 -0.055713  0.075232 -0.234882
NCAB 16APR21 2016.3039 57499 1893 4  -79.5   2691  0.733853   3890774  0.597513   118  0.899056  0.0000 0.000483 0.000567 0.001868 -0.073893  0.074652 -0.216222
NCAB 16APR22 2016.3066 57500 1893 5  -79.5   2691  0.734742   3890774  0.596550   118  0.898002  0.0000 0.000480 0.000568 0.001879 -0.057252  0.073722 -0.231457
NCAB 16APR23 2016.3094 57501 1893 6  -79.5   2691  0.734747   3890774  0.595539   118  0.900413  0.0000 0.000479 0.000568 0.001875 -0.065775  0.082929 -0.221434
NCAB 16APR24 2016.3121 57502 1894 0  -79.5   2691  0.734737   3890774  0.597702   118  0.896403  0.0000 0.000482 0.000563 0.001864 -0.061978  0.067262 -0.226072
NCAB 16APR25 2016.3149 57503 1894 1  -79.5   2691  0.734229   3890774  0.598983   118  0.906606  0.0000 0.000478 0.000565 0.001852 -0.059925  0.065989 -0.218391
NCAB 16APR26 2016.3176 57504 1894 2  -79.5   2691  0.733505   3890774  0.601573   118  0.907032  0.0000 0.000479 0.000564 0.001867 -0.061044  0.076552 -0.215295
NCAB 16APR27 2016.3203 57505 1894 3  -79.5   2691  0.734063   3890774  0.601163   118  0.899202  0.0000 0.000478 0.000568 0.001870 -0.067285  0.092953 -0.216345
NCAB 16APR28 2016.3231 57506 1894 4  -79.5   2691  0.736379   3890774  0.598079   118  0.903567  0.0000 0.000482 0.000571 0.001875 -0.056616  0.074158 -0.225372
NCAB 16APR29 2016.3258 57507 1894 5  -79.5   2691  0.735344   3890774  0.598951   118  0.899616  0.0000 0.000482 0.000565 0.001864 -0.052642  0.044667 -0.220659
NCAB 16APR30 2016.3285 57508 1894 6  -79.5   2691  0.733914   3890774  0.600233   118  0.904821  0.0000 0.000481 0.000565 0.001863 -0.048169  0.063149 -0.222939
NCAB 16MAY01 2016.3313 57509 1895 0  -79.5   2691  0.734396   3890774  0.600767   118  0.905318  0.0000 0.000527 0.000603 0.002012 -0.054185  0.044048 -0.219936
NCAB 16MAY02 2016.3340 57510 1895 1  -79.5   2691  0.735911   3890774  0.600234   118  0.899954  0.0000 0.000500 0.000579 0.001934 -0.071423  0.092187 -0.220038
NCAB 16MAY03 2016.3368 57511 1895 2  -79.5   2691  0.733965   3890774  0.598644   118  0.901908  0.0000 0.000488 0.000572 0.001896 -0.053989  0.074658 -0.222219
NCAB 16MAY04 2016.3395 57512 1895 3  -79.5   2691  0.734656   3890774  0.597925   118  0.892699  0.0000 0.000513 0.000581 0.001941 -0.056138  0.060372 -0.190890
NCAB 16MAY05 2016.3422 57513 1895 4  -79.5   2691  0.730367   3890774  0.600631   118  0.897754  0.0000 0.000494 0.000582 0.001922 -0.045660  0.052135 -0.243581
NCAB 16MAY06 2016.3450 57514 1895 5  -79.5   2691  0.733126   3890774  0.597418   118  0.897514  0.0000 0.000494 0.000572 0.001875 -0.075755  0.078688 -0.206500
NCAB 16MAY07 2016.3477 57515 1895 6  -79.5   2691  0.734906   3890774  0.597720   118  0.896131  0.0000 0.000478 0.000567 0.001861 -0.051013  0.073711 -0.222461
NCAB 16MAY08 2016.3504 57516 1896 0  -79.5   2691  0.733785   3890774  0.598265   118  0.904191  0.0000 0.000487 0.000572 0.001882 -0.077595  0.104661 -0.208139
NCAB 16MAY09 2016.3532 57517 1896 1  -79.5   2691  0.733863   3890774  0.597629   118  0.908023  0.0000 0.000479 0.000565 0.001861 -0.065916  0.081918 -0.223776
NCAB 16MAY10 2016.3559 57518 1896 2  -79.5   2691  0.734697   3890774  0.599047   118  0.903395  0.0000 0.000480 0.000568 0.001876 -0.063479  0.073958 -0.225508
