site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PMTS 09JUN18 2009.4620 55000 1536 4  -71.8  -3332 -0.375248   4581784  0.877272   -11 -0.754809  0.0000 0.001178 0.001388 0.005173 -0.008042 -0.076776  0.124936
PMTS 09JUN19 2009.4648 55001 1536 5  -71.8  -3332 -0.376073   4581784  0.877365   -11 -0.759169  0.0000 0.000663 0.000821 0.002781 -0.088606  0.088190  0.099628
PMTS 09JUN20 2009.4675 55002 1536 6  -71.8  -3332 -0.376379   4581784  0.877011   -11 -0.771410  0.0000 0.000660 0.000789 0.002695 -0.081105  0.094230  0.058212
PMTS 09JUN21 2009.4702 55003 1537 0  -71.8  -3332 -0.378327   4581784  0.878023   -11 -0.758483  0.0000 0.000642 0.000799 0.002744 -0.071730  0.063931  0.102117
PMTS 09JUN22 2009.4730 55004 1537 1  -71.8  -3332 -0.376166   4581784  0.875986   -11 -0.764956  0.0000 0.000653 0.000819 0.002796 -0.089282  0.056392  0.121011
PMTS 09JUN23 2009.4757 55005 1537 2  -71.8  -3332 -0.376449   4581784  0.874678   -11 -0.768443  0.0000 0.000635 0.000791 0.002700 -0.078906  0.068957  0.092915
PMTS 09JUN24 2009.4784 55006 1537 3  -71.8  -3332 -0.375275   4581784  0.875783   -11 -0.763246  0.0000 0.000630 0.000776 0.002627 -0.080034  0.062227  0.061619
PMTS 09JUN25 2009.4812 55007 1537 4  -71.8  -3332 -0.378788   4581784  0.876379   -11 -0.757647  0.0000 0.000625 0.000778 0.002623 -0.069998  0.054354  0.075807
PMTS 09JUN26 2009.4839 55008 1537 5  -71.8  -3332 -0.376134   4581784  0.876239   -11 -0.769716  0.0000 0.000641 0.000787 0.002672 -0.089314  0.071725  0.038859
PMTS 09JUN27 2009.4867 55009 1537 6  -71.8  -3332 -0.378703   4581784  0.877604   -11 -0.764927  0.0000 0.000647 0.000808 0.002726 -0.098895  0.067579  0.073234
PMTS 09JUN28 2009.4894 55010 1538 0  -71.8  -3332 -0.375163   4581784  0.874770   -11 -0.757792  0.0000 0.000642 0.000814 0.002740 -0.076997  0.040260  0.093564
PMTS 09JUN29 2009.4921 55011 1538 1  -71.8  -3332 -0.376485   4581784  0.875293   -11 -0.762370  0.0000 0.000636 0.000807 0.002719 -0.078622  0.043225  0.102256
PMTS 09JUN30 2009.4949 55012 1538 2  -71.8  -3332 -0.376068   4581784  0.877643   -11 -0.762067  0.0000 0.000633 0.000804 0.002710 -0.083193  0.056874  0.108240
PMTS 09JUL01 2009.4976 55013 1538 3  -71.8  -3332 -0.378295   4581784  0.879940   -11 -0.759912  0.0000 0.000646 0.000821 0.002777 -0.099369  0.055295  0.107163
PMTS 09JUL02 2009.5003 55014 1538 4  -71.8  -3332 -0.378673   4581784  0.880344   -11 -0.760634  0.0000 0.000635 0.000803 0.002709 -0.087593  0.040941  0.118152
PMTS 09JUL03 2009.5031 55015 1538 5  -71.8  -3332 -0.377136   4581784  0.875511   -11 -0.764828  0.0000 0.000637 0.000798 0.002721 -0.077979  0.037437  0.122301
PMTS 09JUL04 2009.5058 55016 1538 6  -71.8  -3332 -0.378237   4581784  0.877933   -11 -0.765977  0.0000 0.000635 0.000792 0.002690 -0.078769  0.038283  0.109150
PMTS 09JUL05 2009.5086 55017 1539 0  -71.8  -3332 -0.376332   4581784  0.876601   -11 -0.758365  0.0000 0.000630 0.000789 0.002662 -0.074156  0.043069  0.100381
PMTS 09JUL06 2009.5113 55018 1539 1  -71.8  -3332 -0.375816   4581784  0.876164   -11 -0.759926  0.0000 0.000636 0.000777 0.002628 -0.086765  0.057053  0.061832
PMTS 09JUL07 2009.5140 55019 1539 2  -71.8  -3332 -0.374215   4581784  0.879266   -11 -0.757342  0.0000 0.000631 0.000781 0.002649 -0.082021  0.065266  0.093044
PMTS 09JUL08 2009.5168 55020 1539 3  -71.8  -3332 -0.376014   4581784  0.878271   -11 -0.758400  0.0000 0.000639 0.000805 0.002688 -0.081313  0.061753  0.104129
PMTS 09JUL09 2009.5195 55021 1539 4  -71.8  -3332 -0.375725   4581784  0.878787   -11 -0.765346  0.0000 0.000633 0.000793 0.002698 -0.068590  0.039666  0.110018
PMTS 09JUL10 2009.5222 55022 1539 5  -71.8  -3332 -0.376244   4581784  0.877855   -11 -0.765408  0.0000 0.000647 0.000811 0.002740 -0.073323  0.024536  0.105355
PMTS 09JUL11 2009.5250 55023 1539 6  -71.8  -3332 -0.375344   4581784  0.877980   -11 -0.766973  0.0000 0.000634 0.000792 0.002659 -0.077942  0.053798  0.072129
PMTS 09JUL12 2009.5277 55024 1540 0  -71.8  -3332 -0.377541   4581784  0.877812   -11 -0.767432  0.0000 0.000636 0.000795 0.002660 -0.069808  0.038290  0.074933
PMTS 09JUL13 2009.5305 55025 1540 1  -71.8  -3332 -0.378269   4581784  0.880458   -11 -0.760459  0.0000 0.000628 0.000798 0.002682 -0.069483  0.051414  0.116240
PMTS 09JUL14 2009.5332 55026 1540 2  -71.8  -3332 -0.375298   4581784  0.877829   -11 -0.768528  0.0000 0.000630 0.000795 0.002669 -0.074330  0.054501  0.100048
PMTS 09JUL15 2009.5359 55027 1540 3  -71.8  -3332 -0.374616   4581784  0.880372   -11 -0.766191  0.0000 0.000637 0.000802 0.002694 -0.077920  0.051715  0.106308
PMTS 09JUL16 2009.5387 55028 1540 4  -71.8  -3332 -0.376262   4581784  0.878290   -11 -0.762399  0.0000 0.000631 0.000798 0.002680 -0.064390  0.028414  0.106863
PMTS 09JUL17 2009.5414 55029 1540 5  -71.8  -3332 -0.373754   4581784  0.876360   -11 -0.770579  0.0000 0.000631 0.000794 0.002656 -0.075769  0.045468  0.079961
PMTS 09JUL18 2009.5441 55030 1540 6  -71.8  -3332 -0.377713   4581784  0.880329   -11 -0.771861  0.0000 0.000639 0.000806 0.002701 -0.075011  0.022689  0.090722
PMTS 09JUL19 2009.5469 55031 1541 0  -71.8  -3332 -0.374875   4581784  0.877371   -11 -0.768136  0.0000 0.000627 0.000784 0.002662 -0.063439  0.043122  0.087694
