 2001 06 23  04 19        0.0    -330.50       1.36     -575.85      48.90  -0.9327
 2001 06 30  04 12        7.0    -341.34       0.60     -556.39      47.25  -0.5805
 2001 07 07  04 05       14.0    -351.46       0.70      -59.51       2.02  -0.8334
 2001 07 14  03 58       21.0    -352.59       0.67      -58.62       1.86  -0.8179
 2001 07 21  03 51       28.0    -353.70       0.64      -57.73       1.72  -0.8014
 2001 07 28  03 44       35.0    -354.80       0.62      -56.84       1.60  -0.7837
 2001 08 04  03 37       42.0    -355.88       0.60      -55.95       1.49  -0.7649
 2001 08 11  03 30       49.0    -356.94       0.58      -55.06       1.39  -0.7449
 2001 08 18  03 23       56.0    -357.99       0.56      -54.19       1.30  -0.7237
 2001 08 25  03 16       63.0    -359.02       0.54      -53.33       1.21  -0.7014
 2001 09 01  03 10       70.0    -360.04       0.52      -52.48       1.14  -0.6780
 2001 09 08  03 03       77.0    -361.03       0.51      -51.64       1.07  -0.6534
 2001 09 15  02 56       84.0    -362.02       0.50      -50.83       1.01  -0.6277
 2001 09 22  02 49       91.0    -362.98       0.49      -50.03       0.95  -0.6010
 2001 09 29  02 42       98.0    -363.93       0.47      -49.24       0.90  -0.5733
 2001 10 06  02 35      105.0    -364.87       0.47      -48.48       0.85  -0.5447
 2001 10 13  02 28      112.0    -365.79       0.46      -47.73       0.81  -0.5152
 2001 10 20  02 21      119.0    -366.70       0.45      -47.00       0.77  -0.4849
 2001 10 27  02 14      126.0    -367.59       0.44      -46.29       0.74  -0.4540
 2001 11 03  02 07      133.0    -368.47       0.44      -45.59       0.70  -0.4225
 2001 11 10  02 01      140.0    -369.34       0.43      -44.91       0.67  -0.3905
 2001 11 17  01 54      147.0    -370.19       0.43      -44.25       0.64  -0.3581
 2001 11 24  01 47      154.0    -371.04       0.42      -43.60       0.62  -0.3254
 2001 12 01  01 40      161.0    -371.87       0.42      -42.97       0.59  -0.2926
 2001 12 08  01 33      168.0    -372.68       0.42      -42.36       0.57  -0.2596
 2001 12 15  01 26      175.0    -373.49       0.41      -41.76       0.55  -0.2268
 2001 12 22  01 19      182.0    -374.28       0.41      -41.18       0.53  -0.1940
 2001 12 29  01 12      189.0    -375.07       0.41      -40.61       0.51  -0.1615
 2002 01 05  01 05      196.0    -375.84       0.41      -40.05       0.50  -0.1293
 2002 01 12  00 58      203.0    -376.60       0.41      -39.51       0.48  -0.0975
 2002 01 19  00 52      210.0    -377.36       0.41      -38.98       0.47  -0.0662
 2002 01 26  00 45      217.0    -378.10       0.41      -38.47       0.46  -0.0355
 2002 02 02  00 38      224.0    -378.83       0.41      -37.96       0.45  -0.0053
 2002 02 09  00 31      231.0    -379.55       0.41      -37.47       0.43   0.0242
 2002 02 16  00 24      238.0    -380.27       0.41      -36.99       0.42   0.0529
 2002 02 23  00 17      245.0    -380.97       0.41      -36.52       0.41   0.0810
 2002 03 02  00 10      252.0    -381.67       0.41      -36.06       0.41   0.1082
 2002 03 09  00 03      259.0    -382.35       0.41      -35.62       0.40   0.1347
 2002 03 15  23 56      266.0    -383.03       0.41      -35.18       0.39   0.1603
 2002 03 22  23 49      273.0    -383.70       0.41      -34.75       0.38   0.1851
 2002 03 29  23 43      280.0    -384.36       0.41      -34.34       0.38   0.2091
 2002 04 05  23 36      287.0    -385.02       0.41      -33.93       0.37   0.2323
 2002 04 12  23 29      294.0    -385.66       0.42      -33.53       0.36   0.2546
 2002 04 19  23 22      301.0    -386.30       0.42      -33.14       0.36   0.2761
 2002 04 26  23 15      308.0    -386.93       0.42      -32.76       0.35   0.2969
 2002 05 03  23 08      315.0    -387.56       0.42      -32.39       0.35   0.3168
 2002 05 10  23 01      322.0    -388.18       0.42      -32.02       0.34   0.3360
 2002 05 17  22 54      329.0    -388.79       0.43      -31.66       0.34   0.3544
 2002 05 24  22 47      336.0    -389.39       0.43      -31.31       0.34   0.3721
 2002 05 31  22 40      343.0    -389.99       0.43      -30.97       0.33   0.3891
 2002 06 07  22 34      350.0    -390.58       0.43      -30.64       0.33   0.4054
 2002 06 14  22 27      357.0    -391.16       0.44      -30.31       0.32   0.4211
 2002 06 21  22 20      364.0    -391.74       0.44      -29.99       0.32   0.4361
 2002 06 28  22 13      371.0    -392.31       0.44      -29.67       0.32   0.4505
 2002 07 05  22 06      378.0    -392.88       0.44      -29.36       0.31   0.4644
 2002 07 12  21 59      385.0    -393.44       0.45      -29.06       0.31   0.4776
 2002 07 19  21 52      392.0    -393.99       0.45      -28.76       0.31   0.4904
 2002 07 26  21 45      399.0    -394.54       0.45      -28.47       0.31   0.5026
 2002 08 02  21 38      406.0    -395.08       0.45      -28.19       0.30   0.5144
 2002 08 09  21 31      413.0    -395.62       0.46      -27.91       0.30   0.5256
 2002 08 16  21 25      420.0    -396.15       0.46      -27.63       0.30   0.5365
 2002 08 23  21 18      427.0    -396.68       0.46      -27.37       0.30   0.5469
 2002 08 30  21 11      434.0    -397.20       0.47      -27.10       0.29   0.5569
 2002 09 06  21 04      441.0    -397.72       0.47      -26.84       0.29   0.5665
 2002 09 13  20 57      448.0    -398.23       0.47      -26.59       0.29   0.5757
 2002 09 20  20 50      455.0    -398.74       0.48      -26.34       0.29   0.5846
 2002 09 27  20 43      462.0    -399.24       0.48      -26.09       0.28   0.5931
 2002 10 04  20 36      469.0    -399.74       0.48      -25.85       0.28   0.6013
 2002 10 11  20 29      476.0    -400.23       0.49      -25.62       0.28   0.6092
 2002 10 18  20 22      483.0    -400.72       0.49      -25.38       0.28   0.6169
 2002 10 25  20 16      490.0    -401.20       0.49      -25.16       0.28   0.6242
 2002 11 01  20 09      497.0    -401.68       0.50      -24.93       0.28   0.6313
 2002 11 08  20 02      504.0    -402.16       0.50      -24.71       0.27   0.6381
 2002 11 15  19 55      511.0    -402.63       0.50      -24.50       0.27   0.6447
 2002 11 22  19 48      518.0    -403.10       0.51      -24.28       0.27   0.6510
 2002 11 29  19 41      525.0    -403.56       0.51      -24.07       0.27   0.6571
 2002 12 06  19 34      532.0    -404.02       0.51      -23.87       0.27   0.6631
 2002 12 13  19 27      539.0    -404.48       0.52      -23.67       0.27   0.6688
 2002 12 20  19 20      546.0    -404.93       0.52      -23.47       0.26   0.6743
 2002 12 27  19 13      553.0    -405.37       0.52      -23.27       0.26   0.6796
