 2005 04 29  13 28        0.0      -5.92       0.26       53.12       2.18  -0.7556
 2005 05 06  13 21        7.0      -5.06       0.24       37.70       1.55  -0.6885
 2005 05 13  13 14       14.0      -4.43       0.22       29.22       1.20  -0.6237
 2005 05 20  13 07       21.0      -3.92       0.21       23.85       0.98  -0.5607
 2005 05 27  13 00       28.0      -3.50       0.20       20.15       0.83  -0.4997
 2005 06 03  12 53       35.0      -3.14       0.19       17.45       0.72  -0.4408
 2005 06 10  12 46       42.0      -2.83       0.19       15.38       0.63  -0.3842
 2005 06 17  12 39       49.0      -2.55       0.18       13.75       0.57  -0.3300
 2005 06 24  12 33       56.0      -2.30       0.18       12.43       0.51  -0.2783
 2005 07 01  12 26       63.0      -2.07       0.18       11.35       0.47  -0.2291
 2005 07 08  12 19       70.0      -1.87       0.18       10.44       0.43  -0.1824
 2005 07 15  12 12       77.0      -1.67       0.17        9.66       0.40  -0.1382
 2005 07 22  12 05       84.0      -1.49       0.17        8.99       0.37  -0.0964
 2005 07 29  11 58       91.0      -1.33       0.17        8.41       0.35  -0.0570
 2005 08 05  11 51       98.0      -1.17       0.17        7.90       0.32  -0.0197
 2005 08 12  11 44      105.0      -1.03       0.17        7.45       0.31   0.0154
 2005 08 19  11 37      112.0      -0.89       0.17        7.04       0.29   0.0485
 2005 08 26  11 30      119.0      -0.76       0.17        6.68       0.27   0.0797
 2005 09 02  11 24      126.0      -0.63       0.17        6.35       0.26   0.1091
 2005 09 09  11 17      133.0      -0.51       0.17        6.06       0.25   0.1369
 2005 09 16  11 10      140.0      -0.40       0.17        5.79       0.24   0.1631
 2005 09 23  11 03      147.0      -0.29       0.18        5.54       0.23   0.1878
 2005 09 30  10 56      154.0      -0.19       0.18        5.31       0.22   0.2112
 2005 10 07  10 49      161.0      -0.09       0.18        5.10       0.21   0.2333
 2005 10 14  10 42      168.0       0.01       0.18        4.91       0.20   0.2542
 2005 10 21  10 35      175.0       0.10       0.18        4.73       0.19   0.2740
 2005 10 28  10 28      182.0       0.19       0.18        4.57       0.19   0.2928
 2005 11 04  10 21      189.0       0.28       0.18        4.41       0.18   0.3106
 2005 11 11  10 15      196.0       0.36       0.18        4.27       0.18   0.3275
 2005 11 18  10 08      203.0       0.44       0.18        4.13       0.17   0.3435
 2005 11 25  10 01      210.0       0.52       0.18        4.00       0.16   0.3588
 2005 12 02  09 54      217.0       0.59       0.19        3.88       0.16   0.3734
 2005 12 09  09 47      224.0       0.67       0.19        3.77       0.16   0.3872
 2005 12 16  09 40      231.0       0.74       0.19        3.66       0.15   0.4005
 2005 12 23  09 33      238.0       0.81       0.19        3.56       0.15   0.4131
 2005 12 30  09 26      245.0       0.88       0.19        3.47       0.14   0.4251
 2006 01 06  09 19      252.0       0.94       0.19        3.38       0.14   0.4366
 2006 01 13  09 12      259.0       1.01       0.19        3.29       0.14   0.4477
 2006 01 20  09 06      266.0       1.07       0.19        3.21       0.13   0.4582
 2006 01 27  08 59      273.0       1.13       0.19        3.13       0.13   0.4683
 2006 02 03  08 52      280.0       1.19       0.20        3.06       0.13   0.4780
 2006 02 10  08 45      287.0       1.25       0.20        2.99       0.12   0.4873
 2006 02 17  08 38      294.0       1.30       0.20        2.92       0.12   0.4963
 2006 02 24  08 31      301.0       1.36       0.20        2.86       0.12   0.5048
 2006 03 03  08 24      308.0       1.41       0.20        2.80       0.12   0.5131
 2006 03 10  08 17      315.0       1.47       0.20        2.74       0.11   0.5210
 2006 03 17  08 10      322.0       1.52       0.20        2.68       0.11   0.5287
 2006 03 24  08 03      329.0       1.57       0.20        2.63       0.11   0.5361
 2006 03 31  07 57      336.0       1.62       0.20        2.57       0.11   0.5432
 2006 04 07  07 50      343.0       1.67       0.21        2.52       0.10   0.5500
 2006 04 14  07 43      350.0       1.71       0.21        2.48       0.10   0.5566
 2006 04 21  07 36      357.0       1.76       0.21        2.43       0.10   0.5630
 2006 04 28  07 29      364.0       1.81       0.21        2.39       0.10   0.5692
 2006 05 05  07 22      371.0       1.85       0.21        2.34       0.10   0.5752
 2006 05 12  07 15      378.0       1.90       0.21        2.30       0.09   0.5810
 2006 05 19  07 08      385.0       1.94       0.21        2.26       0.09   0.5866
 2006 05 26  07 01      392.0       1.98       0.21        2.22       0.09   0.5920
 2006 06 02  06 55      399.0       2.03       0.21        2.18       0.09   0.5972
 2006 06 09  06 48      406.0       2.07       0.22        2.15       0.09   0.6023
 2006 06 16  06 41      413.0       2.11       0.22        2.11       0.09   0.6072
 2006 06 23  06 34      420.0       2.15       0.22        2.08       0.09   0.6120
 2006 06 30  06 27      427.0       2.19       0.22        2.05       0.08   0.6166
 2006 07 07  06 20      434.0       2.23       0.22        2.02       0.08   0.6212
 2006 07 14  06 13      441.0       2.27       0.22        1.98       0.08   0.6255
 2006 07 21  06 06      448.0       2.30       0.22        1.95       0.08   0.6298
 2006 07 28  05 59      455.0       2.34       0.22        1.93       0.08   0.6339
 2006 08 04  05 52      462.0       2.38       0.22        1.90       0.08   0.6380
 2006 08 11  05 46      469.0       2.41       0.22        1.87       0.08   0.6419
 2006 08 18  05 39      476.0       2.45       0.23        1.84       0.08   0.6457
 2006 08 25  05 32      483.0       2.48       0.23        1.82       0.07   0.6494
 2006 09 01  05 25      490.0       2.52       0.23        1.79       0.07   0.6530
 2006 09 08  05 18      497.0       2.55       0.23        1.77       0.07   0.6565
 2006 09 15  05 11      504.0       2.59       0.23        1.74       0.07   0.6600
 2006 09 22  05 04      511.0       2.62       0.23        1.72       0.07   0.6633
 2006 09 29  04 57      518.0       2.65       0.23        1.70       0.07   0.6666
 2006 10 06  04 50      525.0       2.68       0.23        1.68       0.07   0.6697
 2006 10 13  04 43      532.0       2.72       0.23        1.66       0.07   0.6729
 2006 10 20  04 37      539.0       2.75       0.23        1.63       0.07   0.6759
 2006 10 27  04 30      546.0       2.78       0.23        1.61       0.07   0.6788
 2006 11 03  04 23      553.0       2.81       0.24        1.59       0.07   0.6817
 2006 11 10  04 16      560.0       2.84       0.24        1.58       0.06   0.6846
 2006 11 17  04 09      567.0       2.87       0.24        1.56       0.06   0.6873
 2006 11 24  04 02      574.0       2.90       0.24        1.54       0.06   0.6900
 2006 12 01  03 55      581.0       2.93       0.24        1.52       0.06   0.6927
 2006 12 08  03 48      588.0       2.96       0.24        1.50       0.06   0.6953
 2006 12 15  03 41      595.0       2.99       0.24        1.49       0.06   0.6978
 2006 12 22  03 34      602.0       3.02       0.24        1.47       0.06   0.7003
 2006 12 29  03 28      609.0       3.04       0.24        1.45       0.06   0.7027
 2007 01 05  03 21      616.0       3.07       0.24        1.44       0.06   0.7050
 2007 01 12  03 14      623.0       3.10       0.24        1.42       0.06   0.7074
 2007 01 19  03 07      630.0       3.13       0.24        1.40       0.06   0.7096
 2007 01 26  03 00      637.0       3.15       0.25        1.39       0.06   0.7119
 2007 02 02  02 53      644.0       3.18       0.25        1.38       0.06   0.7141
 2007 02 09  02 46      651.0       3.21       0.25        1.36       0.06   0.7162
 2007 02 16  02 39      658.0       3.23       0.25        1.35       0.06   0.7183
 2007 02 23  02 32      665.0       3.26       0.25        1.33       0.05   0.7203
 2007 03 02  02 25      672.0       3.28       0.25        1.32       0.05   0.7224
 2007 03 09  02 19      679.0       3.31       0.25        1.31       0.05   0.7243
 2007 03 16  02 12      686.0       3.33       0.25        1.29       0.05   0.7263
 2007 03 23  02 05      693.0       3.36       0.25        1.28       0.05   0.7282
 2007 03 30  01 58      700.0       3.38       0.25        1.27       0.05   0.7301
 2007 04 06  01 51      707.0       3.41       0.25        1.26       0.05   0.7319
 2007 04 13  01 44      714.0       3.43       0.25        1.24       0.05   0.7337
