 2004 12 22  00 42        0.0       3.89       1.58      -65.05      14.46  -0.8364
 2004 12 29  01 02        7.0       2.93       1.41      -39.80       8.84  -0.7878
 2005 01 05  01 07       14.0       2.28       1.30      -28.67       6.37  -0.7441
 2005 01 12  01 00       21.0       1.80       1.22      -22.40       4.98  -0.7034
 2005 01 19  00 53       28.0       1.41       1.16      -18.39       4.09  -0.6649
 2005 01 26  00 46       35.0       1.08       1.11      -15.59       3.46  -0.6281
 2005 02 02  00 39       42.0       0.81       1.08      -13.53       3.01  -0.5927
 2005 02 09  00 33       49.0       0.56       1.05      -11.95       2.66  -0.5587
 2005 02 16  00 26       56.0       0.35       1.02      -10.71       2.38  -0.5257
 2005 02 23  00 19       63.0       0.15       1.00       -9.69       2.15  -0.4939
 2005 03 02  00 12       70.0      -0.03       0.98       -8.86       1.97  -0.4632
 2005 03 09  00 05       77.0      -0.19       0.96       -8.15       1.81  -0.4334
 2005 03 15  23 58       84.0      -0.34       0.95       -7.55       1.68  -0.4046
 2005 03 22  23 51       91.0      -0.48       0.94       -7.03       1.56  -0.3767
 2005 03 29  23 44       98.0      -0.61       0.93       -6.58       1.46  -0.3497
 2005 04 05  23 37      105.0      -0.73       0.92       -6.18       1.37  -0.3235
 2005 04 12  23 30      112.0      -0.85       0.91       -5.83       1.30  -0.2982
 2005 04 19  23 24      119.0      -0.96       0.90       -5.52       1.23  -0.2737
 2005 04 26  23 17      126.0      -1.06       0.90       -5.24       1.16  -0.2500
 2005 05 03  23 10      133.0      -1.16       0.89       -4.98       1.11  -0.2270
 2005 05 10  23 03      140.0      -1.25       0.89       -4.75       1.06  -0.2048
 2005 05 17  22 56      147.0      -1.34       0.88       -4.54       1.01  -0.1833
 2005 05 24  22 49      154.0      -1.42       0.88       -4.35       0.97  -0.1624
 2005 05 31  22 42      161.0      -1.51       0.88       -4.17       0.93  -0.1422
 2005 06 07  22 35      168.0      -1.58       0.87       -4.01       0.89  -0.1227
 2005 06 14  22 28      175.0      -1.66       0.87       -3.86       0.86  -0.1038
 2005 06 21  22 21      182.0      -1.73       0.87       -3.72       0.83  -0.0854
 2005 06 28  22 15      189.0      -1.80       0.87       -3.59       0.80  -0.0676
 2005 07 05  22 08      196.0      -1.87       0.87       -3.47       0.77  -0.0504
 2005 07 12  22 01      203.0      -1.93       0.87       -3.35       0.75  -0.0337
 2005 07 19  21 54      210.0      -2.00       0.87       -3.25       0.72  -0.0176
 2005 07 26  21 47      217.0      -2.06       0.87       -3.15       0.70  -0.0019
 2005 08 02  21 40      224.0      -2.12       0.87       -3.05       0.68   0.0134
 2005 08 09  21 33      231.0      -2.18       0.87       -2.96       0.66   0.0281
 2005 08 16  21 26      238.0      -2.23       0.87       -2.88       0.64   0.0424
 2005 08 23  21 19      245.0      -2.29       0.87       -2.80       0.62   0.0563
