     23.00     23.00   -0.350    0.063   -2.542   0.105   0.080   0.463
     23.00     24.00   -0.291   -0.026   -2.318   0.106   0.080   0.463
     23.00     25.00   -0.239   -0.027   -2.121   0.106   0.080   0.463
     23.00     26.00   -0.206    0.033   -2.170   0.106   0.080   0.464
     23.00     27.00   -0.196    0.103   -2.520   0.106   0.080   0.463
     23.00     28.00   -0.207    0.139   -3.089   0.106   0.080   0.463
     23.00     29.00   -0.236    0.115   -3.752   0.106   0.080   0.463
     23.00     30.00   -0.273    0.007   -4.369   0.106   0.080   0.463
     23.00     31.00   -0.312   -0.210   -4.741   0.106   0.080   0.463
     23.00     32.00   -0.349   -0.525   -4.600   0.106   0.080   0.464
     23.00     33.00   -0.387   -0.864   -3.729   0.106   0.080   0.464
     24.00     23.00   -0.234    0.123   -2.786   0.106   0.081   0.466
     24.00     24.00   -0.183    0.024   -2.681   0.106   0.081   0.466
     24.00     25.00   -0.166   -0.011   -2.525   0.106   0.081   0.466
     24.00     26.00   -0.200    0.007   -2.496   0.106   0.081   0.466
     24.00     27.00   -0.280    0.042   -2.659   0.106   0.081   0.466
     24.00     28.00   -0.387    0.060   -2.980   0.106   0.081   0.466
     24.00     29.00   -0.495    0.036   -3.386   0.106   0.081   0.466
     24.00     30.00   -0.580   -0.057   -3.787   0.106   0.081   0.466
     24.00     31.00   -0.630   -0.252   -4.016   0.106   0.081   0.466
     24.00     32.00   -0.639   -0.547   -3.801   0.106   0.081   0.466
     24.00     33.00   -0.616   -0.877   -2.882   0.106   0.081   0.466
     25.00     23.00   -0.257    0.190   -3.286   0.106   0.082   0.468
     25.00     24.00   -0.196    0.065   -3.288   0.106   0.082   0.468
     25.00     25.00   -0.176   -0.029   -3.102   0.106   0.082   0.468
     25.00     26.00   -0.217   -0.076   -2.859   0.106   0.082   0.468
     25.00     27.00   -0.314   -0.087   -2.663   0.106   0.082   0.468
     25.00     28.00   -0.440   -0.083   -2.571   0.106   0.082   0.468
     25.00     29.00   -0.566   -0.089   -2.607   0.106   0.082   0.468
     25.00     30.00   -0.664   -0.142   -2.749   0.106   0.082   0.468
     25.00     31.00   -0.714   -0.283   -2.855   0.106   0.082   0.468
     25.00     32.00   -0.702   -0.524   -2.644   0.106   0.082   0.468
     25.00     33.00   -0.627   -0.807   -1.816   0.106   0.082   0.468
     26.00     23.00   -0.413    0.281   -3.526   0.106   0.083   0.470
     26.00     24.00   -0.323    0.132   -3.719   0.106   0.083   0.470
     26.00     25.00   -0.265   -0.020   -3.600   0.106   0.083   0.470
     26.00     26.00   -0.256   -0.132   -3.251   0.106   0.083   0.470
     26.00     27.00   -0.297   -0.194   -2.807   0.106   0.083   0.470
     26.00     28.00   -0.373   -0.213   -2.398   0.106   0.083   0.470
     26.00     29.00   -0.469   -0.213   -2.121   0.106   0.083   0.470
     26.00     30.00   -0.559   -0.232   -2.005   0.106   0.083   0.470
     26.00     31.00   -0.615   -0.313   -1.950   0.106   0.083   0.470
     26.00     32.00   -0.602   -0.473   -1.717   0.106   0.083   0.470
     26.00     33.00   -0.493   -0.668   -1.036   0.106   0.083   0.470
     27.00     23.00   -0.579    0.391   -3.303   0.106   0.084   0.473
     27.00     24.00   -0.486    0.228   -3.772   0.106   0.084   0.472
     27.00     25.00   -0.407    0.039   -3.863   0.106   0.084   0.473
