name	lat	lon
AB06	54.885	-163.423
AB07	55.349	-160.477
AB11	64.564	-165.373
AB15	61.04	-159.878
AB28	62.094	-152.815
AB33	67.251	-150.173
AB36	65.03	-150.744
AB37	62.967	-145.452
AB41	64.777	-141.158
AB48	56.245	-134.647
AB49	55.58	-133.068
AB51	56.798	-132.914
ABPO	-19.018	47.229
AC02	56.951	-154.183
AC11	61.807	-148.332
AC15	60.481	-149.724
AC20	60.929	-149.353
AC21	55.921	-159.128
AC25	55.089	-162.314
AC27	59.253	-154.163
AC34	57.22	-153.279
AC38	57.754	-153.342
AC41	55.909	-160.407
AC45	56.564	-154.181
AC53	61.769	-150.069
AC59	59.567	-153.585
AC61	64.029	-142.076
AC63	63.502	-145.847
AC64	62.714	-144.304
AC67	57.791	-152.425
ACOR	43.364	-8.399
ADE1	-34.729	138.647
ADIS	9.035	38.766
ADKS	29.791	-95.586
ADRI	41.919	-84.024
AGGO	-34.874	-58.14
AGMT	34.594	-116.429
AIRA	31.824	130.6
AJAC	41.927	8.763
ALAC	38.339	-0.481
ALBH	48.39	-123.487
ALGA	37.667	-0.863
ALGO	45.956	-78.071
ALIC	-23.67	133.886
ALON	31.708	34.607
ALRT	82.494	-62.34
AMC2	38.803	-104.525
AMMN	32.029	35.88
AMUN	-89.998	138.978
ANA1	34.015	-119.363
ANKR	39.887	32.758
ANTC	-37.339	-71.532
AOA1	34.157	-118.83
AOML	25.735	-80.162
AQUI	42.368	13.35
AREG	-16.465	-71.493
AREL	32.102	35.209
AREQ	-16.466	-71.493
ARTU	56.43	58.56
ASC1	-7.951	-14.412
ASHV	35.599	-82.546
ASPA	-14.326	-170.722
ATL1	33.936	-84.52
ATW2	61.598	-149.132
ATWC	61.598	-149.132
AUCK	-36.603	174.834
AUGL	59.37	-153.354
AUTF	-54.84	-68.304
AV01	59.359	-153.461
AV02	59.333	-153.428
AV04	59.363	-153.445
AV06	54.147	-165.766
AV07	54.163	-166.039
AV08	54.136	-166.028
AV09	53.876	-166.542
AV10	54.098	-165.934
AV11	59.371	-153.355
AV12	54.211	-165.898
AV13	54.153	-165.898
AV14	54.119	-165.842
AV15	54.1	-165.71
AZCN	36.84	-107.911
AZRY	33.54	-116.63
AZU1	34.126	-117.896
BAHR	26.209	50.608
BAIE	49.187	-68.263
BAKE	64.318	-96.002
BAKO	-6.491	106.849
BAKU	40.372	49.814
BAMF	48.835	-125.135
BAN2	13.034	77.512
BAR1	33.48	-119.03
BARB	13.088	-59.609
BARH	44.395	-68.222
BARN	44.099	-71.16
BAYR	43.446	-83.892
BBDM	34.582	-119.982
BBRY	34.264	-116.884
BCOV	50.544	-126.843
BDOS	13.088	-59.609
BELL	41.6	1.401
BGIS	33.967	-118.16
