site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
FOS1 09DEC18 2009.9630 55183 1562 5  -68.3   -745 -0.471901  -7915510 -0.935891   158  0.819625 -0.0100 0.001025 0.001497 0.006024  0.005735  0.310019 -0.057378
FOS1 09DEC19 2009.9658 55184 1562 6  -68.3   -745 -0.473058  -7915510 -0.934451   158  0.803409 -0.0100 0.000505 0.000675 0.002871  0.155568  0.283981  0.045169
FOS1 09DEC20 2009.9685 55185 1563 0  -68.3   -745 -0.474228  -7915510 -0.934725   158  0.798679 -0.0100 0.000503 0.000664 0.002844  0.165967  0.277570  0.067098
FOS1 09DEC21 2009.9713 55186 1563 1  -68.3   -745 -0.475681  -7915510 -0.935766   158  0.804100 -0.0100 0.000514 0.000663 0.002934  0.138667  0.314839  0.033788
FOS1 09DEC22 2009.9740 55187 1563 2  -68.3   -745 -0.473380  -7915510 -0.936940   158  0.801932 -0.0100 0.000520 0.000699 0.002936  0.151060  0.273061  0.038842
FOS1 09DEC23 2009.9767 55188 1563 3  -68.3   -745 -0.472871  -7915510 -0.936611   158  0.804209 -0.0100 0.000515 0.000663 0.002864  0.157490  0.272868  0.030722
FOS1 09DEC24 2009.9795 55189 1563 4  -68.3   -745 -0.473418  -7915510 -0.936486   158  0.804126 -0.0100 0.000507 0.000664 0.002821  0.143151  0.240434  0.025488
FOS1 09DEC25 2009.9822 55190 1563 5  -68.3   -745 -0.474096  -7915510 -0.936931   158  0.802271 -0.0100 0.000508 0.000671 0.002815  0.175876  0.230548  0.032173
FOS1 09DEC26 2009.9849 55191 1563 6  -68.3   -745 -0.474041  -7915510 -0.935688   158  0.807041 -0.0100 0.000502 0.000656 0.002833  0.142515  0.252025  0.017987
FOS1 09DEC27 2009.9877 55192 1564 0  -68.3   -745 -0.474522  -7915510 -0.936177   158  0.800262 -0.0100 0.000512 0.000679 0.002854  0.171684  0.267682  0.028483
FOS1 09DEC28 2009.9904 55193 1564 1  -68.3   -745 -0.473573  -7915510 -0.935130   158  0.798976 -0.0100 0.000510 0.000676 0.002886  0.145387  0.269399  0.023116
FOS1 09DEC29 2009.9932 55194 1564 2  -68.3   -745 -0.473745  -7915510 -0.935218   158  0.796817 -0.0100 0.000511 0.000677 0.002857  0.144905  0.259443  0.010085
FOS1 09DEC30 2009.9959 55195 1564 3  -68.3   -745 -0.474225  -7915510 -0.935540   158  0.801965 -0.0100 0.000501 0.000651 0.002830  0.132945  0.250581  0.033191
FOS1 09DEC31 2009.9986 55196 1564 4  -68.3   -745 -0.471667  -7915510 -0.937676   158  0.797484 -0.0100 0.000511 0.000680 0.002862  0.144418  0.256351  0.015655
FOS1 10JAN01 2010.0014 55197 1564 5  -68.3   -745 -0.472227  -7915510 -0.935031   158  0.797476 -0.0100 0.000502 0.000661 0.002830  0.135530  0.263041  0.018512
FOS1 10JAN02 2010.0041 55198 1564 6  -68.3   -745 -0.473212  -7915510 -0.937847   158  0.806180 -0.0100 0.000516 0.000667 0.002859  0.172153  0.258201  0.054326
FOS1 10JAN03 2010.0068 55199 1565 0  -68.3   -745 -0.472409  -7915510 -0.936766   158  0.798395 -0.0100 0.000508 0.000670 0.002847  0.145248  0.256710  0.029571
FOS1 10JAN04 2010.0096 55200 1565 1  -68.3   -745 -0.471810  -7915510 -0.934460   158  0.800181 -0.0100 0.000507 0.000668 0.002839  0.139608  0.252111  0.026715
FOS1 10JAN05 2010.0123 55201 1565 2  -68.3   -745 -0.471831  -7915510 -0.936254   158  0.802547 -0.0100 0.000513 0.000664 0.002884  0.148506  0.249138  0.043131
FOS1 10JAN06 2010.0151 55202 1565 3  -68.3   -745 -0.472948  -7915510 -0.937013   158  0.801538 -0.0100 0.000502 0.000657 0.002822  0.150520  0.269233  0.031919
FOS1 10JAN07 2010.0178 55203 1565 4  -68.3   -745 -0.473925  -7915510 -0.935922   158  0.796266 -0.0100 0.000510 0.000672 0.002872  0.156118  0.271314  0.035903
FOS1 10JAN08 2010.0205 55204 1565 5  -68.3   -745 -0.472984  -7915510 -0.934869   158  0.797589 -0.0100 0.000508 0.000668 0.002820  0.172166  0.249882  0.037875
FOS1 10JAN09 2010.0233 55205 1565 6  -68.3   -745 -0.475196  -7915510 -0.936794   158  0.797979 -0.0100 0.000511 0.000662 0.002881  0.147635  0.272305  0.028907
FOS1 10JAN10 2010.0260 55206 1566 0  -68.3   -745 -0.472345  -7915510 -0.935343   158  0.798863 -0.0100 0.000509 0.000654 0.002838  0.158080  0.247617  0.039236
FOS1 10JAN11 2010.0287 55207 1566 1  -68.3   -745 -0.472705  -7915510 -0.934394   158  0.801332 -0.0100 0.000509 0.000662 0.002891  0.128572  0.267199  0.013564
FOS1 10JAN12 2010.0315 55208 1566 2  -68.3   -745 -0.472620  -7915510 -0.935859   158  0.800783 -0.0100 0.000503 0.000667 0.002841  0.150661  0.275929  0.024150
FOS1 10JAN13 2010.0342 55209 1566 3  -68.3   -745 -0.473062  -7915510 -0.936147   158  0.802956 -0.0100 0.000525 0.000686 0.002933  0.170987  0.236041  0.050548
FOS1 10JAN14 2010.0370 55210 1566 4  -68.3   -745 -0.473419  -7915510 -0.933920   158  0.794434 -0.0100 0.000519 0.000679 0.003009  0.146726  0.272734  0.036750
FOS1 10JAN15 2010.0397 55211 1566 5  -68.3   -745 -0.471619  -7915510 -0.933849   158  0.792493 -0.0100 0.000502 0.000659 0.002931  0.137159  0.275840  0.016979
FOS1 10JAN16 2010.0424 55212 1566 6  -68.3   -745 -0.470895  -7915510 -0.933514   158  0.801635 -0.0100 0.000502 0.000642 0.002891  0.115868  0.287999  0.019784
FOS1 10JAN17 2010.0452 55213 1567 0  -68.3   -745 -0.469625  -7915510 -0.932464   158  0.802490 -0.0100 0.000504 0.000656 0.002899  0.137814  0.288481  0.034349
FOS1 10JAN18 2010.0479 55214 1567 1  -68.3   -745 -0.469574  -7915510 -0.935135   158  0.800542 -0.0100 0.000502 0.000658 0.002894  0.147812  0.290223  0.034806
FOS1 10JAN19 2010.0507 55215 1567 2  -68.3   -745 -0.470963  -7915510 -0.933374   158  0.789569 -0.0100 0.000516 0.000668 0.002989  0.160553  0.294828  0.044533
