site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TUCU 98JAN08 1998.0205 50821  939 4  -65.2  -3016 -0.726474  -2970262 -0.678429   485  0.046033  0.0000 0.000650 0.000657 0.002532 -0.035211 -0.103325  0.100995
TUCU 98JAN09 1998.0233 50822  939 5  -65.2  -3016 -0.726029  -2970262 -0.677256   485  0.046510  0.0000 0.000643 0.000655 0.002581 -0.064287 -0.076514  0.168208
TUCU 98JAN10 1998.0260 50823  939 6  -65.2  -3016 -0.732965  -2970262 -0.677830   485  0.048936  0.0000 0.000650 0.000657 0.002558 -0.035825 -0.072757  0.093066
TUCU 98JAN11 1998.0287 50824  940 0  -65.2  -3016 -0.730149  -2970262 -0.679952   485  0.045450  0.0000 0.000645 0.000648 0.002531 -0.041128 -0.058658  0.126409
TUCU 98JAN14 1998.0370 50827  940 3  -65.2  -3016 -0.730327  -2970262 -0.675705   485  0.053681  0.0000 0.000655 0.000656 0.002563 -0.044724 -0.087732  0.134700
TUCU 98JAN15 1998.0397 50828  940 4  -65.2  -3016 -0.732470  -2970262 -0.671530   485  0.035906  0.0000 0.000645 0.000656 0.002544 -0.045648 -0.069082  0.101301
TUCU 98JAN16 1998.0424 50829  940 5  -65.2  -3016 -0.727968  -2970262 -0.677281   485  0.044603  0.0000 0.000651 0.000673 0.002548 -0.046267 -0.059775  0.069814
TUCU 98JAN17 1998.0452 50830  940 6  -65.2  -3016 -0.725687  -2970262 -0.676476   485  0.043830  0.0000 0.000637 0.000644 0.002504 -0.054985 -0.060791  0.134033
TUCU 98JAN18 1998.0479 50831  941 0  -65.2  -3016 -0.730763  -2970262 -0.680442   485  0.047228  0.0000 0.000680 0.000662 0.002556 -0.046308 -0.049834  0.094751
TUCU 98JAN19 1998.0507 50832  941 1  -65.2  -3016 -0.730512  -2970262 -0.675944   485  0.044706  0.0000 0.000642 0.000655 0.002548 -0.042771 -0.078397  0.107623
TUCU 98JAN20 1998.0534 50833  941 2  -65.2  -3016 -0.732599  -2970262 -0.680341   485  0.051456  0.0000 0.000676 0.000693 0.002615 -0.070447 -0.067109  0.081375
TUCU 98JAN21 1998.0561 50834  941 3  -65.2  -3016 -0.730334  -2970262 -0.677728   485  0.065506  0.0000 0.000643 0.000649 0.002541 -0.054687 -0.055571  0.119709
TUCU 98JAN22 1998.0589 50835  941 4  -65.2  -3016 -0.730073  -2970262 -0.679609   485  0.045519  0.0000 0.000675 0.000706 0.002637 -0.052889 -0.054822  0.083478
TUCU 98JAN23 1998.0616 50836  941 5  -65.2  -3016 -0.729334  -2970262 -0.679769   485  0.050600  0.0000 0.000673 0.000671 0.002600 -0.031747 -0.052841  0.121499
TUCU 98JAN24 1998.0643 50837  941 6  -65.2  -3016 -0.726103  -2970262 -0.681677   485  0.044204  0.0000 0.000670 0.000688 0.002621 -0.026900 -0.060127  0.079283
TUCU 98JAN25 1998.0671 50838  942 0  -65.2  -3016 -0.729109  -2970262 -0.675044   485  0.049143  0.0000 0.000648 0.000675 0.002585 -0.047751 -0.079009  0.100396
TUCU 98JAN26 1998.0698 50839  942 1  -65.2  -3016 -0.729022  -2970262 -0.673455   485  0.049684  0.0000 0.000667 0.000695 0.002633 -0.059082 -0.048429  0.100862
TUCU 98JAN27 1998.0726 50840  942 2  -65.2  -3016 -0.730811  -2970262 -0.678458   485  0.055101  0.0000 0.000681 0.000690 0.002626 -0.073370 -0.041748  0.084448
TUCU 98JAN28 1998.0753 50841  942 3  -65.2  -3016 -0.728062  -2970262 -0.680713   485  0.043946  0.0000 0.000748 0.000714 0.002767 -0.043013 -0.044799  0.101734
TUCU 98JAN29 1998.0780 50842  942 4  -65.2  -3016 -0.730687  -2970262 -0.682961   485  0.038517  0.0000 0.000683 0.000683 0.002616 -0.077464 -0.059561  0.081757
TUCU 98JAN30 1998.0808 50843  942 5  -65.2  -3016 -0.726886  -2970262 -0.680761   485  0.050481  0.0000 0.000658 0.000669 0.002601 -0.043556 -0.088207  0.089640
TUCU 98JAN31 1998.0835 50844  942 6  -65.2  -3016 -0.727737  -2970262 -0.687312   485  0.050293  0.0000 0.000667 0.000673 0.002588 -0.056211 -0.061232  0.110032
TUCU 98FEB01 1998.0862 50845  943 0  -65.2  -3016 -0.729774  -2970262 -0.676472   485  0.054271  0.0000 0.000670 0.000671 0.002573 -0.064882 -0.038213  0.102841
TUCU 98FEB02 1998.0890 50846  943 1  -65.2  -3016 -0.731807  -2970262 -0.682700   485  0.049726  0.0000 0.000644 0.000653 0.002530 -0.031008 -0.058891  0.108218
TUCU 98FEB03 1998.0917 50847  943 2  -65.2  -3016 -0.731103  -2970262 -0.680415   485  0.039838  0.0000 0.000643 0.000653 0.002550 -0.044427 -0.082074  0.117804
TUCU 98FEB04 1998.0945 50848  943 3  -65.2  -3016 -0.734469  -2970262 -0.683516   485  0.045643  0.0000 0.000676 0.000674 0.002607 -0.077609 -0.097869  0.128837
TUCU 98FEB05 1998.0972 50849  943 4  -65.2  -3016 -0.730391  -2970262 -0.680170   485  0.038366  0.0000 0.000682 0.000686 0.002635 -0.058030 -0.079280  0.084885
TUCU 98FEB06 1998.0999 50850  943 5  -65.2  -3016 -0.729302  -2970262 -0.678481   485  0.039876  0.0000 0.000804 0.000802 0.003109 -0.050307  0.008822  0.087672
TUCU 98FEB09 1998.1081 50853  944 1  -65.2  -3016 -0.732747  -2970262 -0.680573   485  0.055367  0.0000 0.000659 0.000667 0.002552 -0.045381 -0.078165  0.122236
TUCU 98FEB10 1998.1109 50854  944 2  -65.2  -3016 -0.731878  -2970262 -0.674045   485  0.054688  0.0000 0.000663 0.000684 0.002589 -0.053461 -0.043075  0.083099
TUCU 98FEB14 1998.1218 50858  944 6  -65.2  -3016 -0.731294  -2970262 -0.679311   485  0.040781  0.0000 0.000650 0.000658 0.002549 -0.045770 -0.079201  0.095896
TUCU 98FEB15 1998.1246 50859  945 0  -65.2  -3016 -0.731280  -2970262 -0.677191   485  0.046854  0.0000 0.000667 0.000663 0.002555 -0.066338 -0.070239  0.093037
TUCU 98FEB16 1998.1273 50860  945 1  -65.2  -3016 -0.729562  -2970262 -0.681057   485  0.048425  0.0000 0.000663 0.000688 0.002582 -0.072448 -0.069636  0.058641
