site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CT3D 12FEB24 2012.1478 55981 1676 5    1.3  -1760 -0.087938   5491593  0.457541   242  0.168534  0.0000 0.000826 0.001121 0.003371 -0.000047  0.011534 -0.077617
CT3D 12FEB25 2012.1506 55982 1676 6    1.3  -1760 -0.089394   5491593  0.460346   242  0.159170  0.0000 0.000578 0.000751 0.002298  0.055750  0.056112 -0.083367
CT3D 12FEB26 2012.1533 55983 1677 0    1.3  -1760 -0.087742   5491593  0.460573   242  0.157519  0.0000 0.000576 0.000755 0.002289  0.061843  0.034239 -0.076115
CT3D 12FEB27 2012.1561 55984 1677 1    1.3  -1760 -0.089737   5491593  0.458066   242  0.164522  0.0000 0.000593 0.000755 0.002319  0.063722  0.041056 -0.076179
CT3D 12FEB28 2012.1588 55985 1677 2    1.3  -1760 -0.089272   5491593  0.458804   242  0.164594  0.0000 0.000587 0.000757 0.002324  0.046581  0.053351 -0.060690
CT3D 12FEB29 2012.1615 55986 1677 3    1.3  -1760 -0.086040   5491593  0.457110   242  0.170216  0.0000 0.000582 0.000769 0.002338  0.074881  0.040988 -0.065040
CT3D 12MAR01 2012.1643 55987 1677 4    1.3  -1760 -0.085122   5491593  0.457798   242  0.170871  0.0000 0.000600 0.000784 0.002398  0.054093  0.033652 -0.096159
CT3D 12MAR02 2012.1670 55988 1677 5    1.3  -1760 -0.086325   5491593  0.457860   242  0.163390  0.0000 0.000587 0.000783 0.002360  0.070941  0.023226 -0.100960
CT3D 12MAR03 2012.1697 55989 1677 6    1.3  -1760 -0.087299   5491593  0.456782   242  0.158210  0.0000 0.000570 0.000751 0.002267  0.054288  0.053727 -0.082538
CT3D 12MAR04 2012.1725 55990 1678 0    1.3  -1760 -0.085590   5491593  0.457953   242  0.157636  0.0000 0.000584 0.000762 0.002345  0.057506  0.042487 -0.100266
CT3D 12MAR05 2012.1752 55991 1678 1    1.3  -1760 -0.086771   5491593  0.461031   242  0.154189  0.0000 0.000575 0.000759 0.002288  0.069676  0.038316 -0.086867
CT3D 12MAR06 2012.1780 55992 1678 2    1.3  -1760 -0.088157   5491593  0.458850   242  0.157010  0.0000 0.000573 0.000754 0.002304  0.058472  0.022235 -0.094204
CT3D 12MAR07 2012.1807 55993 1678 3    1.3  -1760 -0.089148   5491593  0.462191   242  0.160765  0.0000 0.000569 0.000749 0.002240  0.062091  0.037725 -0.075964
CT3D 12MAR08 2012.1834 55994 1678 4    1.3  -1760 -0.083222   5491593  0.458303   242  0.160434  0.0000 0.000570 0.000753 0.002265  0.061089  0.054866 -0.078310
CT3D 12MAR09 2012.1862 55995 1678 5    1.3  -1760 -0.086211   5491593  0.459398   242  0.152625  0.0000 0.000578 0.000751 0.002275  0.033983  0.073948 -0.096782
CT3D 12MAR10 2012.1889 55996 1678 6    1.3  -1760 -0.085038   5491593  0.458773   242  0.163688  0.0000 0.000577 0.000752 0.002289  0.042071  0.083076 -0.099250
CT3D 12MAR11 2012.1916 55997 1679 0    1.3  -1760 -0.084730   5491593  0.459200   242  0.158677  0.0000 0.000572 0.000750 0.002265  0.050567  0.073738 -0.081664
CT3D 12MAR12 2012.1944 55998 1679 1    1.3  -1760 -0.082333   5491593  0.460591   242  0.162223  0.0000 0.000577 0.000751 0.002279  0.065038  0.046470 -0.081485
CT3D 12MAR13 2012.1971 55999 1679 2    1.3  -1760 -0.085490   5491593  0.460698   242  0.158149  0.0000 0.000574 0.000752 0.002270  0.077040  0.020767 -0.101510
CT3D 12MAR14 2012.1999 56000 1679 3    1.3  -1760 -0.084249   5491593  0.459447   242  0.160608  0.0000 0.000574 0.000747 0.002244  0.065560  0.038992 -0.091694
CT3D 12MAR15 2012.2026 56001 1679 4    1.3  -1760 -0.081622   5491593  0.458990   242  0.162369  0.0000 0.000574 0.000753 0.002283  0.046804  0.074443 -0.095925
CT3D 12MAR16 2012.2053 56002 1679 5    1.3  -1760 -0.082446   5491593  0.458924   242  0.169539  0.0000 0.000581 0.000759 0.002305  0.070128  0.011985 -0.133742
CT3D 12MAR17 2012.2081 56003 1679 6    1.3  -1760 -0.084587   5491593  0.458090   242  0.160120  0.0000 0.000574 0.000760 0.002258  0.072977  0.049589 -0.088722
CT3D 12MAR18 2012.2108 56004 1680 0    1.3  -1760 -0.086560   5491593  0.459548   242  0.154377  0.0000 0.000577 0.000769 0.002307  0.064287  0.041843 -0.097797
CT3D 12MAR19 2012.2136 56005 1680 1    1.3  -1760 -0.085468   5491593  0.460124   242  0.161622  0.0000 0.000575 0.000761 0.002278  0.088689  0.003693 -0.078149
CT3D 12MAR20 2012.2163 56006 1680 2    1.3  -1760 -0.083678   5491593  0.457958   242  0.154611  0.0000 0.000585 0.000768 0.002312  0.097710  0.010354 -0.109636
CT3D 12MAR21 2012.2190 56007 1680 3    1.3  -1760 -0.080115   5491593  0.456720   242  0.159688  0.0000 0.000576 0.000755 0.002284  0.069847  0.046128 -0.107759
CT3D 12MAR22 2012.2218 56008 1680 4    1.3  -1760 -0.078724   5491593  0.459476   242  0.162239  0.0000 0.000574 0.000757 0.002284  0.054290  0.046815 -0.108709
CT3D 12MAR23 2012.2245 56009 1680 5    1.3  -1760 -0.078487   5491593  0.459254   242  0.165002  0.0000 0.000573 0.000758 0.002275  0.058648  0.039217 -0.095760
CT3D 12MAR24 2012.2272 56010 1680 6    1.3  -1760 -0.076746   5491593  0.458830   242  0.166666  0.0000 0.000572 0.000749 0.002245  0.069097  0.022669 -0.102906
CT3D 12MAR25 2012.2300 56011 1681 0    1.3  -1760 -0.078122   5491593  0.457912   242  0.162596  0.0000 0.000573 0.000744 0.002239  0.071471  0.044246 -0.081169
CT3D 12MAR26 2012.2327 56012 1681 1    1.3  -1760 -0.079589   5491593  0.458723   242  0.164997  0.0000 0.000585 0.000754 0.002316  0.055617  0.070948 -0.115289
CT3D 12MAR27 2012.2355 56013 1681 2    1.3  -1760 -0.080162   5491593  0.458159   242  0.163684  0.0000 0.000578 0.000752 0.002278  0.049640  0.055588 -0.125935
CT3D 12MAR28 2012.2382 56014 1681 3    1.3  -1760 -0.078888   5491593  0.455719   242  0.168371  0.0000 0.000573 0.000751 0.002273  0.053818  0.047900 -0.093513
CT3D 12MAR29 2012.2409 56015 1681 4    1.3  -1760 -0.078844   5491593  0.459313   242  0.168414  0.0000 0.000576 0.000755 0.002263  0.075740  0.027648 -0.104532
CT3D 12MAR30 2012.2437 56016 1681 5    1.3  -1760 -0.081041   5491593  0.459678   242  0.168375  0.0000 0.000572 0.000744 0.002235  0.076701  0.035359 -0.077487
CT3D 12MAR31 2012.2464 56017 1681 6    1.3  -1760 -0.085003   5491593  0.459953   242  0.165755  0.0000 0.000572 0.000758 0.002263  0.094719  0.021347 -0.080209
CT3D 12APR01 2012.2491 56018 1682 0    1.3  -1760 -0.085743   5491593  0.463093   242  0.156617  0.0000 0.000571 0.000758 0.002267  0.060949  0.054160 -0.101807
