site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
USUD 96JAN01 1996.0000 50083  834 1  138.4  -3416 -0.530693   4000312  0.712746  1508  0.614067 -0.0350 0.000672 0.000766 0.003009 -0.112379  0.267097 -0.293070
USUD 96JAN02 1996.0027 50084  834 2  138.4  -3416 -0.534086   4000312  0.711650  1508  0.607923 -0.0350 0.000696 0.000751 0.002956 -0.131897  0.297555 -0.265209
USUD 96JAN03 1996.0055 50085  834 3  138.4  -3416 -0.532865   4000312  0.709286  1508  0.606194 -0.0350 0.000699 0.000749 0.002997 -0.145992  0.342640 -0.254380
USUD 96JAN04 1996.0082 50086  834 4  138.4  -3416 -0.532606   4000312  0.713190  1508  0.601403 -0.0350 0.000690 0.000769 0.003003 -0.126994  0.318374 -0.213925
USUD 96JAN05 1996.0110 50087  834 5  138.4  -3416 -0.530867   4000312  0.711937  1508  0.603861 -0.0350 0.000681 0.000757 0.002913 -0.147205  0.321697 -0.238001
USUD 96JAN06 1996.0137 50088  834 6  138.4  -3416 -0.531710   4000312  0.706736  1508  0.607192 -0.0350 0.000683 0.000754 0.003007 -0.102162  0.295691 -0.250075
USUD 96JAN07 1996.0164 50089  835 0  138.4  -3416 -0.531403   4000312  0.710632  1508  0.590766 -0.0350 0.000700 0.000772 0.003029 -0.126394  0.272536 -0.281000
USUD 96JAN08 1996.0192 50090  835 1  138.4  -3416 -0.530506   4000312  0.708490  1508  0.598884 -0.0350 0.000717 0.000797 0.003239 -0.116464  0.277131 -0.229099
USUD 96JAN09 1996.0219 50091  835 2  138.4  -3416 -0.534691   4000312  0.703626  1508  0.593721 -0.0350 0.000707 0.000787 0.003125 -0.162405  0.280857 -0.274354
USUD 96JAN10 1996.0246 50092  835 3  138.4  -3416 -0.535534   4000312  0.706869  1508  0.585822 -0.0350 0.000675 0.000750 0.002902 -0.151641  0.311044 -0.257136
USUD 96JAN11 1996.0274 50093  835 4  138.4  -3416 -0.532050   4000312  0.709327  1508  0.590966 -0.0350 0.000680 0.000756 0.003001 -0.111147  0.300587 -0.249809
USUD 96JAN12 1996.0301 50094  835 5  138.4  -3416 -0.528797   4000312  0.709244  1508  0.602228 -0.0350 0.000672 0.000750 0.002929 -0.130538  0.292826 -0.234476
