site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
JON4 12OCT26 2012.8186 56226 1711 5  151.5   -488 -0.019040  -3034791 -0.077334   422  0.635716  0.0000 0.000500 0.000583 0.002124 -0.072925 -0.134919  0.121624
JON4 12OCT27 2012.8214 56227 1711 6  151.5   -488 -0.020738  -3034791 -0.072776   422  0.624790  0.0000 0.000489 0.000578 0.002079 -0.072564 -0.124181  0.116116
JON4 12OCT28 2012.8241 56228 1712 0  151.5   -488 -0.020330  -3034791 -0.075601   422  0.626534  0.0000 0.000490 0.000573 0.002050 -0.069656 -0.079954  0.117482
JON4 12OCT29 2012.8268 56229 1712 1  151.5   -488 -0.019688  -3034791 -0.076708   422  0.625048  0.0000 0.000479 0.000559 0.002002 -0.069616 -0.088681  0.131784
JON4 12OCT30 2012.8296 56230 1712 2  151.5   -488 -0.017660  -3034791 -0.077993   422  0.620644  0.0000 0.000730 0.000834 0.002966 -0.087854 -0.002329  0.133724
JON4 12OCT31 2012.8323 56231 1712 3  151.5   -488 -0.018428  -3034791 -0.074649   422  0.619550  0.0000 0.000566 0.000651 0.002335 -0.070337 -0.094229  0.104829
JON4 12NOV01 2012.8350 56232 1712 4  151.5   -488 -0.021250  -3034791 -0.078470   422  0.629143  0.0000 0.000486 0.000570 0.002048 -0.085116 -0.079725  0.124947
JON4 12NOV02 2012.8378 56233 1712 5  151.5   -488 -0.018797  -3034791 -0.079126   422  0.624249  0.0000 0.000478 0.000553 0.001996 -0.048030 -0.082784  0.146539
JON4 12NOV03 2012.8405 56234 1712 6  151.5   -488 -0.018627  -3034791 -0.078202   422  0.623989  0.0000 0.000487 0.000565 0.002020 -0.072082 -0.100980  0.152556
JON4 12NOV04 2012.8433 56235 1713 0  151.5   -488 -0.019071  -3034791 -0.075609   422  0.616686  0.0000 0.000484 0.000563 0.002025 -0.071601 -0.091708  0.139413
JON4 12NOV05 2012.8460 56236 1713 1  151.5   -488 -0.019190  -3034791 -0.085887   422  0.615351  0.0000 0.000965 0.001104 0.004209 -0.133561 -0.086169  0.264434
JON4 12NOV06 2012.8487 56237 1713 2  151.5   -488 -0.020432  -3034791 -0.073391   422  0.630077  0.0000 0.000489 0.000568 0.002026 -0.085604 -0.063665  0.138721
JON4 12NOV07 2012.8515 56238 1713 3  151.5   -488 -0.017740  -3034791 -0.080311   422  0.625825  0.0000 0.000480 0.000562 0.002004 -0.079588 -0.086395  0.139098
JON4 12NOV08 2012.8542 56239 1713 4  151.5   -488 -0.019206  -3034791 -0.076876   422  0.630480  0.0000 0.000484 0.000568 0.002025 -0.083809 -0.095337  0.133352
JON4 12NOV09 2012.8569 56240 1713 5  151.5   -488 -0.020267  -3034791 -0.078220   422  0.636174  0.0000 0.000506 0.000584 0.002111 -0.052792 -0.093352  0.095326
