2002.6247 0.441 0.261 0.840 0.209 -2.805 1.171
2002.7082 0.716 0.264 0.617 0.208 -3.471 1.174
2002.7918 0.286 0.223 0.980 0.194 -2.639 1.041
2002.8753 -0.288 0.249 0.265 0.192 -1.054 1.102
2002.9589 -0.409 0.335 0.478 0.200 2.270 1.380
2003.0438 -0.425 0.177 0.323 0.137 1.703 0.793
2003.1247 -0.402 0.153 0.161 0.121 4.076 0.693
2003.2055 -0.113 0.138 -0.150 0.115 4.660 0.640
2003.2890 -0.421 0.128 -0.101 0.116 7.027 0.620
2003.3726 -0.506 0.167 -0.011 0.128 8.057 0.744
2003.5397 0.515 0.120 0.762 0.114 0.567 0.597
2003.6247 1.097 0.119 0.918 0.115 -4.284 0.594
2003.7082 1.434 0.116 0.939 0.110 -6.322 0.579
2003.7918 0.953 0.113 1.040 0.109 -5.924 0.567
2003.8753 0.421 0.122 0.954 0.114 -1.921 0.599
2003.9589 0.144 0.113 0.771 0.114 0.137 0.581
2004.0438 0.082 0.143 0.446 0.113 1.646 0.652
2004.1260 0.407 0.120 0.257 0.117 2.862 0.603
2004.2082 0.129 0.109 -0.005 0.110 5.532 0.560
2004.2918 -0.104 0.112 -0.156 0.115 6.050 0.579
2004.3753 -0.341 0.124 0.224 0.127 6.608 0.633
2004.4589 -0.331 0.105 0.312 0.103 5.365 0.537
2004.5425 0.162 0.101 0.541 0.096 0.974 0.511
2004.6274 0.878 0.111 0.782 0.099 -3.146 0.543
2004.7110 0.680 0.105 0.939 0.091 -3.994 0.512
2004.7945 0.322 0.093 0.790 0.083 -3.954 0.461
2004.8781 -0.203 0.104 0.454 0.098 -1.107 0.521
2004.9616 -0.434 0.114 0.431 0.111 1.234 0.575
2005.0438 -0.057 0.109 -0.053 0.114 4.785 0.568
2005.1247 0.117 0.119 -0.174 0.122 5.530 0.614
2005.2055 0.122 0.124 -0.363 0.121 8.182 0.623
2005.2890 -0.029 0.116 -0.463 0.111 9.837 0.581
2005.3726 -0.320 0.113 -0.276 0.105 9.078 0.559
2005.4562 -0.398 0.121 -0.179 0.108 9.168 0.585
2005.5397 0.446 0.111 -0.011 0.102 2.853 0.548
2005.6247 1.056 0.108 0.245 0.101 -3.225 0.539
2005.7082 0.982 0.113 0.447 0.107 -7.359 0.562
2005.7918 0.514 0.110 0.515 0.106 -7.879 0.552
2005.8753 -0.355 0.113 0.417 0.109 -6.083 0.569
2005.9589 -0.595 0.129 0.138 0.088 -1.825 0.565
2006.0438 -0.564 0.121 -0.083 0.108 1.175 0.585
2006.1247 -0.404 0.120 -0.446 0.112 3.248 0.593
2006.2055 -0.395 0.117 -0.553 0.117 3.106 0.595
2006.2890 -0.371 0.122 -0.572 0.126 5.597 0.627
2006.3726 -0.482 0.119 -0.404 0.125 7.132 0.619
2006.4562 -0.643 0.135 -0.305 0.140 5.082 0.694
2006.5397 0.056 0.138 -0.017 0.149 -0.231 0.724
2006.6247 1.056 0.117 0.232 0.126 -6.641 0.617
