2002.6247 0.024 0.263 0.064 0.237 -0.343 1.246
2002.7082 0.217 0.266 -0.218 0.237 0.425 1.250
2002.7918 0.069 0.224 -0.164 0.221 0.179 1.103
2002.8753 0.209 0.251 -0.017 0.218 0.471 1.169
2002.9589 0.155 0.338 0.250 0.226 -0.100 1.431
2003.0438 0.479 0.178 -0.124 0.159 0.449 0.849
2003.1247 0.363 0.154 0.214 0.140 -1.631 0.742
2003.2055 0.310 0.138 -0.164 0.132 -5.415 0.685
2003.2890 0.319 0.129 -0.178 0.132 -3.544 0.661
2003.3726 0.270 0.168 -0.119 0.148 -2.823 0.795
2003.5397 -0.078 0.121 -0.142 0.130 -0.920 0.636
2003.6247 -0.140 0.119 -0.144 0.130 -0.951 0.631
2003.7082 -0.049 0.117 -0.198 0.125 1.359 0.615
2003.7918 -0.096 0.114 -0.311 0.123 0.859 0.603
2003.8753 0.061 0.122 -0.259 0.130 -1.171 0.638
2003.9589 0.331 0.113 -0.026 0.128 -0.874 0.614
2004.0438 0.518 0.144 -0.063 0.129 -1.869 0.693
2004.1260 0.789 0.120 -0.043 0.132 -3.403 0.641
2004.2082 0.981 0.109 0.079 0.123 -4.829 0.592
2004.2918 0.737 0.112 -0.154 0.128 -3.834 0.610
2004.3753 0.709 0.123 -0.224 0.140 -3.066 0.667
2004.4589 0.574 0.105 -0.127 0.115 -4.354 0.567
2004.5425 0.230 0.102 -0.054 0.107 -1.981 0.540
2004.6274 -0.016 0.112 -0.273 0.110 -1.365 0.572
2004.7110 -0.007 0.106 -0.181 0.101 -1.211 0.539
2004.7945 0.018 0.094 -0.225 0.091 -0.369 0.485
2004.8781 -0.060 0.104 -0.111 0.110 2.408 0.552
2004.9616 -0.050 0.114 -0.076 0.125 0.118 0.611
2005.0438 0.353 0.109 0.011 0.126 -0.340 0.598
2005.1247 0.152 0.119 0.082 0.137 -1.361 0.648
2005.2055 0.141 0.124 -0.104 0.138 -2.156 0.663
2005.2890 0.142 0.117 0.036 0.127 -1.808 0.619
2005.3726 -0.077 0.114 -0.099 0.120 -2.927 0.596
2005.4562 -0.106 0.122 -0.144 0.124 -1.984 0.625
2005.5397 -0.087 0.112 -0.188 0.116 -1.309 0.584
2005.6247 -0.173 0.109 -0.299 0.115 0.113 0.575
2005.7082 -0.270 0.113 -0.391 0.122 0.950 0.599
2005.7918 -0.147 0.110 -0.252 0.120 2.155 0.588
2005.8753 -0.106 0.114 -0.032 0.124 0.947 0.606
2005.9589 -0.028 0.131 -0.116 0.100 -1.113 0.600
2006.0438 0.087 0.122 -0.281 0.124 -3.110 0.626
2006.1247 0.365 0.120 -0.367 0.129 -3.188 0.633
2006.2055 0.425 0.117 -0.368 0.132 -2.873 0.633
2006.2890 0.520 0.121 -0.568 0.141 -2.756 0.664
2006.3726 0.475 0.118 -0.455 0.139 -3.455 0.651
2006.4562 0.257 0.135 -0.485 0.157 -1.554 0.734
2006.5397 -0.131 0.138 -0.356 0.165 -0.918 0.759
2006.6247 -0.282 0.116 -0.295 0.138 0.090 0.645
2006.7082 -0.328 0.136 -0.457 0.158 1.507 0.738
2006.7918 -0.236 0.122 -0.221 0.140 3.485 0.661
