name	lat	lon
ABHR	50.582	-113.874
ABHV	50.582	-113.874
ABIU	46.078	23.566
ABL1	32.454	-99.73
ABLB	54.77	-111.955
ABLD	53.257	-113.528
ABLT	49.706	-112.835
ABMF	16.262	-61.528
ABMH	50.022	-110.697
ABMK	57.172	-111.6
ABMN	51.663	-112.768
ABMO	53.801	-113.648
ABMR	51.663	-112.768
ABNA	53.569	-113.502
ABNC	51.064	-114.087
ABNY	-35.027	117.887
ABOK	50.726	-113.982
ABOL	51.792	-114.106
ABOO	8.992	37.809
ABPD	4.477	-74.099
ABPE	53.668	-115.991
ABPO	-19.018	47.229
ABPR	56.228	-117.341
ABPW	4.69	-73.995
ABQ5	34.957	-106.494
ABQ6	34.957	-106.494
ABR1	50.746	-103.419
ABRA	-22.722	-65.697
ABRD	52.271	-113.817
ABRH	52.372	-114.91
ABRK	31.12	53.226
ABRN	42.761	-120.1
ABRO	52.371	-114.907
ABSE	51.043	-113.395
ABSL	52.328	-112.713
ABSM	51.061	-113.387
ABSP	53.542	-113.976
ABST	52.325	-112.727
ABSW	53.56	-113.317
ABUZ	11.152	7.649
ABVI	18.73	-64.332
ABYW	52.424	-4.004
AC02	56.951	-154.183
AC03	59.771	-151.865
AC06	59.764	-150.891
AC07	65.961	-161.287
AC08	58.929	-153.645
AC09	59.868	-144.524
AC10	54.523	-164.887
AC11	61.807	-148.332
AC12	54.831	-159.59
AC13	55.822	-155.622
AC14	60.849	-148.0
AC15	60.481	-149.724
AC16	60.518	-148.093
AC17	60.664	-152.404
AC18	58.926	-152.25
AC19	62.519	-153.607
AC20	60.929	-149.353
AC21	55.921	-159.128
AC23	60.475	-150.878
AC24	58.682	-156.653
AC25	55.089	-162.314
AC26	58.215	-154.15
AC27	59.253	-154.163
AC28	55.078	-160.049
AC29	59.43	-146.34
AC30	59.856	-147.739
AC31	64.638	-162.239
AC32	61.473	-150.737
AC33	62.671	-150.685
AC34	57.22	-153.279
AC35	59.376	-150.793
AC36	60.955	-150.608
AC37	60.44	-153.865
AC38	57.754	-153.342
AC39	58.61	-152.394
AC40	56.93	-158.619
AC41	55.909	-160.407
AC42	54.472	-162.784
AC43	59.521	-149.629
AC44	61.242	-149.567
AC45	56.564	-154.181
AC46	61.986	-151.524
AC47	60.081	-152.624
AC48	60.646	-147.343
AC50	65.554	-164.567
AC51	61.498	-151.835
AC52	57.567	-157.574
AC53	61.769	-150.069
AC55	62.384	-151.765
AC57	61.139	-145.743
AC58	57.156	-170.218
AC59	59.567	-153.585
AC60	52.715	174.076
AC61	64.029	-142.076
AC62	63.084	-146.313
AC63	63.502	-145.847
AC64	62.714	-144.304
AC65	62.832	-143.704
AC66	51.378	179.301
AC67	57.791	-152.425
AC69	63.113	-142.027
AC70	63.305	-148.188
AC71	64.049	-145.714
