site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BMCP 06JUN04 2006.4230 53890 1378 0 -136.5   1180  0.191535   6518484  0.754482    20  0.168140  0.0083 0.000906 0.001169 0.004071 -0.019832 -0.220025  0.199023
BMCP 06JUN05 2006.4257 53891 1378 1 -136.5   1180  0.189606   6518484  0.756409    20  0.184633  0.0083 0.000745 0.000992 0.003477  0.038833 -0.239653  0.271307
BMCP 06JUN06 2006.4285 53892 1378 2 -136.5   1180  0.190248   6518484  0.756324    20  0.165316  0.0083 0.000788 0.001071 0.003769  0.089852 -0.313366  0.194502
BMCP 06JUN07 2006.4312 53893 1378 3 -136.5   1180  0.190441   6518484  0.749902    20  0.185699  0.0083 0.000782 0.001053 0.003841  0.086208 -0.328372  0.256525
BMCP 06JUN08 2006.4339 53894 1378 4 -136.5   1180  0.192848   6518484  0.753637    20  0.197378  0.0083 0.000755 0.001053 0.003586  0.079543 -0.261973  0.255542
BMCP 06JUN09 2006.4367 53895 1378 5 -136.5   1180  0.193176   6518484  0.755057    20  0.187978  0.0083 0.000753 0.001009 0.003577  0.076511 -0.286519  0.201764
BMCP 06JUN10 2006.4394 53896 1378 6 -136.5   1180  0.192399   6518484  0.755594    20  0.196819  0.0083 0.000791 0.001021 0.003658  0.034139 -0.293539  0.238039
BMCP 06JUN11 2006.4422 53897 1379 0 -136.5   1180  0.193671   6518484  0.756277    20  0.194292  0.0083 0.000752 0.001054 0.003710  0.069232 -0.277083  0.248450
BMCP 06JUN12 2006.4449 53898 1379 1 -136.5   1180  0.192185   6518484  0.752101    20  0.196869  0.0083 0.000730 0.001002 0.003619  0.056308 -0.293976  0.261535
BMCP 06JUN13 2006.4476 53899 1379 2 -136.5   1180  0.192534   6518484  0.751809    20  0.199396  0.0083 0.000726 0.001008 0.003586  0.079506 -0.283744  0.267643
BMCP 06JUN14 2006.4504 53900 1379 3 -136.5   1180  0.190521   6518484  0.754000    20  0.202465  0.0083 0.000779 0.001041 0.003691  0.070215 -0.250406  0.229702
BMCP 06JUN15 2006.4531 53901 1379 4 -136.5   1180  0.193293   6518484  0.752647    20  0.180900  0.0083 0.000817 0.001098 0.003779  0.110626 -0.312933  0.204473
BMCP 06JUN16 2006.4559 53902 1379 5 -136.5   1180  0.190106   6518484  0.751700    20  0.184536  0.0083 0.000761 0.001035 0.003645  0.100956 -0.263188  0.288843
BMCP 06JUN17 2006.4586 53903 1379 6 -136.5   1180  0.192158   6518484  0.750802    20  0.184878  0.0083 0.000749 0.001028 0.003613  0.041771 -0.261887  0.265960
BMCP 06JUN18 2006.4613 53904 1380 0 -136.5   1180  0.194697   6518484  0.751107    20  0.172120  0.0083 0.000788 0.001068 0.003829  0.082944 -0.274125  0.231366
BMCP 06JUN19 2006.4641 53905 1380 1 -136.5   1180  0.192434   6518484  0.751542    20  0.179502  0.0083 0.000804 0.001109 0.003849  0.065982 -0.262447  0.208297
BMCP 06JUN20 2006.4668 53906 1380 2 -136.5   1180  0.193519   6518484  0.753338    20  0.200774  0.0083 0.000777 0.001084 0.003924  0.035836 -0.273238  0.284564
BMCP 06JUN21 2006.4695 53907 1380 3 -136.5   1180  0.192688   6518484  0.751499    20  0.197344  0.0083 0.000789 0.001112 0.003820  0.055212 -0.273950  0.243980
BMCP 06JUN22 2006.4723 53908 1380 4 -136.5   1180  0.189113   6518484  0.754211    20  0.184997  0.0083 0.000801 0.001131 0.003960  0.058238 -0.264195  0.267011
BMCP 06JUN23 2006.4750 53909 1380 5 -136.5   1180  0.189729   6518484  0.752059    20  0.174642  0.0083 0.000809 0.001110 0.003860  0.059618 -0.283023  0.260763
BMCP 06JUN24 2006.4778 53910 1380 6 -136.5   1180  0.193259   6518484  0.750499    20  0.170441  0.0083 0.000795 0.001090 0.003897  0.070011 -0.278459  0.271377
BMCP 06JUN25 2006.4805 53911 1381 0 -136.5   1180  0.193365   6518484  0.753037    20  0.173670  0.0083 0.000790 0.001114 0.003829  0.067677 -0.260327  0.209772
BMCP 06JUN26 2006.4832 53912 1381 1 -136.5   1180  0.192785   6518484  0.754130    20  0.201072  0.0083 0.000828 0.001098 0.003977  0.054602 -0.295834  0.275578
BMCP 06JUN27 2006.4860 53913 1381 2 -136.5   1180  0.191978   6518484  0.752315    20  0.201423  0.0083 0.000851 0.001049 0.003822  0.073830 -0.263311  0.279601
BMCP 06JUN28 2006.4887 53914 1381 3 -136.5   1180  0.190537   6518484  0.751727    20  0.174239  0.0083 0.000810 0.001127 0.003843  0.151515 -0.290299  0.206196
BMCP 06JUN29 2006.4914 53915 1381 4 -136.5   1180  0.191986   6518484  0.750937    20  0.176579  0.0083 0.000760 0.001000 0.003614  0.104222 -0.228323  0.282978
BMCP 06JUN30 2006.4942 53916 1381 5 -136.5   1180  0.194481   6518484  0.754174    20  0.187556  0.0083 0.000754 0.001014 0.003803  0.063092 -0.263581  0.273743
BMCP 06JUL01 2006.4969 53917 1381 6 -136.5   1180  0.191971   6518484  0.755234    20  0.206732  0.0083 0.000735 0.001010 0.003669  0.046544 -0.304464  0.274337
BMCP 06JUL02 2006.4997 53918 1382 0 -136.5   1180  0.194335   6518484  0.754154    20  0.186648  0.0083 0.000742 0.001005 0.003798  0.040355 -0.343164  0.283131
BMCP 06JUL03 2006.5024 53919 1382 1 -136.5   1180  0.197409   6518484  0.752890    20  0.180874  0.0083 0.000775 0.001032 0.003774  0.059458 -0.328472  0.251093
BMCP 06JUL04 2006.5051 53920 1382 2 -136.5   1180  0.194413   6518484  0.752651    20  0.186253  0.0083 0.000735 0.001032 0.003741  0.056703 -0.287618  0.277950
BMCP 06JUL05 2006.5079 53921 1382 3 -136.5   1180  0.194394   6518484  0.752477    20  0.200645  0.0083 0.000744 0.001041 0.003835  0.038896 -0.327956  0.274233
