site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ELDA 13NOV15 2013.8727 56611 1766 5   27.8   3049  0.372413  -3656843 -0.964301   146  0.896518  0.0000 0.000615 0.000692 0.002349  0.120698 -0.006280  0.073410
ELDA 13NOV16 2013.8754 56612 1766 6   27.8   3049  0.372162  -3656843 -0.965021   146  0.896261  0.0000 0.000506 0.000558 0.001904  0.114136  0.082619  0.106681
ELDA 13NOV17 2013.8782 56613 1767 0   27.8   3049  0.376369  -3656843 -0.964607   146  0.886417  0.0000 0.000493 0.000548 0.001836  0.106413  0.059782  0.093634
ELDA 13NOV18 2013.8809 56614 1767 1   27.8   3049  0.374453  -3656843 -0.963104   146  0.891526  0.0000 0.000493 0.000552 0.001848  0.093977  0.046558  0.109420
ELDA 13NOV19 2013.8836 56615 1767 2   27.8   3049  0.376873  -3656843 -0.964022   146  0.891940  0.0000 0.000517 0.000569 0.001888  0.108857  0.066138  0.113292
ELDA 13NOV20 2013.8864 56616 1767 3   27.8   3049  0.372785  -3656843 -0.960404   146  0.897025  0.0000 0.000497 0.000556 0.001875  0.099624  0.067313  0.094371
ELDA 13NOV21 2013.8891 56617 1767 4   27.8   3049  0.375869  -3656843 -0.960826   146  0.888309  0.0000 0.000489 0.000552 0.001843  0.097976  0.063677  0.086654
ELDA 13NOV22 2013.8919 56618 1767 5   27.8   3049  0.375763  -3656843 -0.962990   146  0.886551  0.0000 0.000490 0.000545 0.001826  0.102953  0.061327  0.097882
ELDA 13NOV23 2013.8946 56619 1767 6   27.8   3049  0.374070  -3656843 -0.962311   146  0.890383  0.0000 0.000493 0.000550 0.001832  0.105088  0.062641  0.111079
ELDA 13NOV24 2013.8973 56620 1768 0   27.8   3049  0.377620  -3656843 -0.962194   146  0.892066  0.0000 0.000489 0.000548 0.001844  0.095112  0.062767  0.102497
ELDA 13NOV25 2013.9001 56621 1768 1   27.8   3049  0.374600  -3656843 -0.964894   146  0.897034  0.0000 0.000490 0.000566 0.001866  0.096751  0.071668  0.083858
ELDA 13NOV26 2013.9028 56622 1768 2   27.8   3049  0.376720  -3656843 -0.961864   146  0.887272  0.0000 0.000489 0.000564 0.001860  0.089025  0.071157  0.071506
ELDA 13NOV27 2013.9055 56623 1768 3   27.8   3049  0.374911  -3656843 -0.959615   146  0.887567  0.0000 0.000490 0.000550 0.001841  0.100661  0.054187  0.095492
ELDA 13NOV28 2013.9083 56624 1768 4   27.8   3049  0.377370  -3656843 -0.962027   146  0.886991  0.0000 0.000491 0.000554 0.001837  0.094307  0.062003  0.089564
ELDA 13NOV29 2013.9110 56625 1768 5   27.8   3049  0.378912  -3656843 -0.961835   146  0.889975  0.0000 0.000486 0.000550 0.001823  0.106330  0.072128  0.094756
ELDA 13NOV30 2013.9138 56626 1768 6   27.8   3049  0.375323  -3656843 -0.964199   146  0.901106  0.0000 0.000486 0.000553 0.001827  0.103140  0.063070  0.101580
ELDA 13DEC01 2013.9165 56627 1769 0   27.8   3049  0.376020  -3656843 -0.964075   146  0.893533  0.0000 0.000487 0.000556 0.001833  0.105385  0.070870  0.073461
