site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P025 07APR25 2007.3128 54215 1424 3 -116.3    918  0.698155   5399714  0.500990   695  0.453736  0.0083 0.000779 0.001138 0.003072 -0.049307 -0.050973 -0.101104
P025 07APR26 2007.3155 54216 1424 4 -116.3    918  0.697126   5399714  0.497758   695  0.448673  0.0083 0.000479 0.000667 0.001877  0.051022 -0.079806 -0.132242
P025 07APR27 2007.3183 54217 1424 5 -116.3    918  0.699932   5399714  0.501362   695  0.456440  0.0083 0.000477 0.000669 0.001867  0.048646 -0.092760 -0.125789
P025 07APR28 2007.3210 54218 1424 6 -116.3    918  0.694217   5399714  0.499684   695  0.457448  0.0083 0.000475 0.000669 0.001855  0.042930 -0.086156 -0.111881
P025 07APR29 2007.3238 54219 1425 0 -116.3    918  0.699355   5399714  0.496904   695  0.447703  0.0083 0.000472 0.000672 0.001853  0.044877 -0.067052 -0.118262
P025 07APR30 2007.3265 54220 1425 1 -116.3    918  0.698068   5399714  0.496466   695  0.439379  0.0083 0.000475 0.000673 0.001869  0.042307 -0.068487 -0.136159
P025 07MAY01 2007.3292 54221 1425 2 -116.3    918  0.698413   5399714  0.499435   695  0.446355  0.0083 0.000479 0.000667 0.001868  0.041224 -0.076683 -0.129956
P025 07MAY02 2007.3320 54222 1425 3 -116.3    918  0.697562   5399714  0.499457   695  0.446434  0.0083 0.000479 0.000681 0.001885  0.058869 -0.080028 -0.122373
P025 07MAY03 2007.3347 54223 1425 4 -116.3    918  0.699033   5399714  0.498626   695  0.442684  0.0083 0.000489 0.000687 0.001925  0.071489 -0.081421 -0.105703
P025 07MAY04 2007.3374 54224 1425 5 -116.3    918  0.698637   5399714  0.499976   695  0.444552  0.0083 0.000474 0.000669 0.001858  0.053276 -0.075302 -0.125378
P025 07MAY05 2007.3402 54225 1425 6 -116.3    918  0.698292   5399714  0.498058   695  0.442969  0.0083 0.000471 0.000669 0.001828  0.057490 -0.060470 -0.119539
P025 07MAY06 2007.3429 54226 1426 0 -116.3    918  0.699392   5399714  0.497024   695  0.452876  0.0083 0.000474 0.000672 0.001862  0.047788 -0.067647 -0.118176
P025 07MAY07 2007.3457 54227 1426 1 -116.3    918  0.698329   5399714  0.499687   695  0.447103  0.0083 0.000473 0.000672 0.001870  0.046091 -0.047520 -0.110194
P025 07MAY08 2007.3484 54228 1426 2 -116.3    918  0.695601   5399714  0.496961   695  0.461974  0.0083 0.000472 0.000664 0.001853  0.038894 -0.067997 -0.134014
P025 07MAY09 2007.3511 54229 1426 3 -116.3    918  0.699767   5399714  0.496854   695  0.448769  0.0083 0.000475 0.000673 0.001860  0.049356 -0.080430 -0.121048
