site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PEAM 14APR08 2014.2669 56755 1787 2  -63.7   1102  0.649093   5124057  0.921336    -2 -0.127507  0.0000 0.000991 0.001153 0.003796 -0.075890 -0.032254 -0.198951
PEAM 14APR09 2014.2697 56756 1787 3  -63.7   1102  0.648303   5124057  0.917742    -2 -0.132993  0.0000 0.000489 0.000628 0.001839 -0.139238  0.095213 -0.105740
PEAM 14APR10 2014.2724 56757 1787 4  -63.7   1102  0.649231   5124057  0.917534    -2 -0.132491  0.0000 0.000501 0.000641 0.001883 -0.153771  0.119910 -0.124277
PEAM 14APR11 2014.2752 56758 1787 5  -63.7   1102  0.647333   5124057  0.920064    -2 -0.126774  0.0000 0.000505 0.000652 0.001907 -0.146584  0.086972 -0.110330
PEAM 14APR12 2014.2779 56759 1787 6  -63.7   1102  0.645492   5124057  0.919111    -2 -0.135799  0.0000 0.000492 0.000634 0.001879 -0.138201  0.129160 -0.117489
PEAM 14APR13 2014.2806 56760 1788 0  -63.7   1102  0.647205   5124057  0.922545    -2 -0.139916  0.0000 0.000493 0.000635 0.001865 -0.143536  0.105864 -0.109338
PEAM 14APR14 2014.2834 56761 1788 1  -63.7   1102  0.648439   5124057  0.917449    -2 -0.118559  0.0000 0.000493 0.000634 0.001852 -0.148070  0.107581 -0.111486
PEAM 14APR15 2014.2861 56762 1788 2  -63.7   1102  0.647637   5124057  0.923631    -2 -0.112622  0.0000 0.000501 0.000630 0.001900 -0.116971  0.092956 -0.088575
PEAM 14APR16 2014.2888 56763 1788 3  -63.7   1102  0.644908   5124057  0.920326    -2 -0.119323  0.0000 0.000486 0.000629 0.001849 -0.128609  0.101794 -0.106795
PEAM 14APR17 2014.2916 56764 1788 4  -63.7   1102  0.643411   5124057  0.919740    -2 -0.141030  0.0000 0.000489 0.000631 0.001850 -0.139825  0.104865 -0.082883
PEAM 14APR18 2014.2943 56765 1788 5  -63.7   1102  0.644540   5124057  0.920805    -2 -0.140690  0.0000 0.000485 0.000626 0.001819 -0.127732  0.092194 -0.063230
PEAM 14APR19 2014.2971 56766 1788 6  -63.7   1102  0.646229   5124057  0.921529    -2 -0.143571  0.0000 0.000492 0.000631 0.001852 -0.132452  0.107187 -0.090476
PEAM 14APR20 2014.2998 56767 1789 0  -63.7   1102  0.646559   5124057  0.921035    -2 -0.138971  0.0000 0.000489 0.000630 0.001858 -0.114978  0.081436 -0.108234
PEAM 14APR21 2014.3025 56768 1789 1  -63.7   1102  0.646277   5124057  0.921621    -2 -0.128576  0.0000 0.000489 0.000633 0.001869 -0.127381  0.093125 -0.100520
PEAM 14APR22 2014.3053 56769 1789 2  -63.7   1102  0.646306   5124057  0.920251    -2 -0.124706  0.0000 0.000487 0.000628 0.001834 -0.129401  0.097796 -0.091457
PEAM 14APR23 2014.3080 56770 1789 3  -63.7   1102  0.645486   5124057  0.919732    -2 -0.125215  0.0000 0.000486 0.000628 0.001844 -0.134155  0.116329 -0.103222
PEAM 14APR24 2014.3107 56771 1789 4  -63.7   1102  0.645660   5124057  0.921529    -2 -0.141049  0.0000 0.000491 0.000627 0.001869 -0.129310  0.115849 -0.098363
PEAM 14APR25 2014.3135 56772 1789 5  -63.7   1102  0.646413   5124057  0.921190    -2 -0.147067  0.0000 0.000490 0.000630 0.001863 -0.121595  0.103733 -0.110493
PEAM 14APR26 2014.3162 56773 1789 6  -63.7   1102  0.646325   5124057  0.921039    -2 -0.133080  0.0000 0.000490 0.000633 0.001861 -0.125311  0.084363 -0.104124
PEAM 14APR27 2014.3190 56774 1790 0  -63.7   1102  0.647371   5124057  0.920088    -2 -0.133145  0.0000 0.000486 0.000629 0.001850 -0.123479  0.100472 -0.099667
PEAM 14APR28 2014.3217 56775 1790 1  -63.7   1102  0.645528   5124057  0.919742    -2 -0.136564  0.0000 0.000497 0.000636 0.001879 -0.137721  0.112081 -0.098321
PEAM 14APR29 2014.3244 56776 1790 2  -63.7   1102  0.643453   5124057  0.920913    -2 -0.136662  0.0000 0.000499 0.000642 0.001883 -0.122522  0.082944 -0.103054
PEAM 14APR30 2014.3272 56777 1790 3  -63.7   1102  0.642838   5124057  0.921789    -2 -0.128302  0.0000 0.000495 0.000631 0.001873 -0.131584  0.106653 -0.119242
PEAM 14MAY01 2014.3299 56778 1790 4  -63.7   1102  0.644753   5124057  0.920918    -2 -0.137261  0.0000 0.000492 0.000631 0.001880 -0.130569  0.105787 -0.117889
PEAM 14MAY02 2014.3326 56779 1790 5  -63.7   1102  0.645034   5124057  0.922940    -2 -0.130140  0.0000 0.000487 0.000624 0.001845 -0.132547  0.103505 -0.102443
PEAM 14MAY03 2014.3354 56780 1790 6  -63.7   1102  0.646520   5124057  0.922012    -2 -0.138744  0.0000 0.000486 0.000621 0.001828 -0.125808  0.105127 -0.097859
PEAM 14MAY04 2014.3381 56781 1791 0  -63.7   1102  0.642716   5124057  0.922308    -2 -0.142503  0.0000 0.000489 0.000623 0.001854 -0.134253  0.118557 -0.106516
PEAM 14MAY05 2014.3409 56782 1791 1  -63.7   1102  0.644904   5124057  0.923926    -2 -0.143234  0.0000 0.000496 0.000629 0.001859 -0.129035  0.088220 -0.107962
PEAM 14MAY06 2014.3436 56783 1791 2  -63.7   1102  0.644583   5124057  0.923225    -2 -0.150603  0.0000 0.000495 0.000632 0.001890 -0.139066  0.111544 -0.119888
PEAM 14MAY07 2014.3463 56784 1791 3  -63.7   1102  0.646346   5124057  0.920728    -2 -0.140138  0.0000 0.000489 0.000632 0.001836 -0.140956  0.099649 -0.083200
PEAM 14MAY08 2014.3491 56785 1791 4  -63.7   1102  0.642882   5124057  0.921868    -2 -0.142873  0.0000 0.000502 0.000642 0.001898 -0.144197  0.099132 -0.095616
PEAM 14MAY09 2014.3518 56786 1791 5  -63.7   1102  0.644821   5124057  0.921617    -2 -0.138247  0.0000 0.000497 0.000635 0.001859 -0.137139  0.085405 -0.083540
PEAM 14MAY10 2014.3546 56787 1791 6  -63.7   1102  0.646335   5124057  0.922848    -2 -0.130626  0.0000 0.000491 0.000618 0.001843 -0.147288  0.117851 -0.080242
PEAM 14MAY11 2014.3573 56788 1792 0  -63.7   1102  0.642620   5124057  0.923890    -2 -0.133709  0.0000 0.000499 0.000630 0.001894 -0.153361  0.124963 -0.107486
