site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
HILB 02APR10 2002.2724 52374 1161 3  -79.1   -228 -0.127332   3991405  0.181662   171  0.066320  0.0000 0.001133 0.001420 0.005022 -0.119354 -0.010790 -0.249231
HILB 02APR11 2002.2752 52375 1161 4  -79.1   -228 -0.124980   3991405  0.183253   171  0.055776  0.0000 0.000605 0.000694 0.002416 -0.078688  0.060950 -0.177023
HILB 02APR12 2002.2779 52376 1161 5  -79.1   -228 -0.123918   3991405  0.184731   171  0.056892  0.0000 0.000609 0.000702 0.002438 -0.081234  0.056786 -0.181355
HILB 02APR13 2002.2806 52377 1161 6  -79.1   -228 -0.123183   3991405  0.183859   171  0.055815  0.0000 0.000605 0.000718 0.002462 -0.085981  0.068358 -0.180900
HILB 02APR14 2002.2834 52378 1162 0  -79.1   -228 -0.124829   3991405  0.184709   171  0.052929  0.0000 0.000606 0.000696 0.002438 -0.066804  0.055292 -0.182700
HILB 02APR15 2002.2861 52379 1162 1  -79.1   -228 -0.124405   3991405  0.182795   171  0.059390  0.0000 0.000612 0.000713 0.002492 -0.064455  0.053202 -0.188521
HILB 02APR16 2002.2888 52380 1162 2  -79.1   -228 -0.125237   3991405  0.183480   171  0.057019  0.0000 0.000671 0.000765 0.002703 -0.062764  0.070409 -0.200599
HILB 02APR17 2002.2916 52381 1162 3  -79.1   -228 -0.125002   3991405  0.184704   171  0.055546  0.0000 0.000770 0.000866 0.003091 -0.062087  0.125693 -0.159651
HILB 02APR18 2002.2943 52382 1162 4  -79.1   -228 -0.128236   3991405  0.187373   171  0.057890  0.0000 0.000698 0.000815 0.002821 -0.071714  0.100454 -0.170965
HILB 02APR19 2002.2971 52383 1162 5  -79.1   -228 -0.124906   3991405  0.185748   171  0.057699  0.0000 0.000680 0.000768 0.002774 -0.061206  0.080518 -0.176164
HILB 02APR20 2002.2998 52384 1162 6  -79.1   -228 -0.125087   3991405  0.188143   171  0.052288  0.0000 0.000626 0.000726 0.002632 -0.092652  0.084942 -0.193082
HILB 02APR21 2002.3025 52385 1163 0  -79.1   -228 -0.124502   3991405  0.184375   171  0.065149  0.0000 0.000650 0.000748 0.002646 -0.060065  0.074344 -0.160955
HILB 02APR22 2002.3053 52386 1163 1  -79.1   -228 -0.122651   3991405  0.185190   171  0.062268  0.0000 0.000614 0.000731 0.002539 -0.077959  0.075503 -0.169813
HILB 02APR23 2002.3080 52387 1163 2  -79.1   -228 -0.124408   3991405  0.185687   171  0.057485  0.0000 0.000608 0.000708 0.002495 -0.063234  0.060481 -0.172707
HILB 02APR24 2002.3107 52388 1163 3  -79.1   -228 -0.124896   3991405  0.187567   171  0.052803  0.0000 0.000613 0.000697 0.002447 -0.103642  0.072745 -0.156119
HILB 02APR25 2002.3135 52389 1163 4  -79.1   -228 -0.124730   3991405  0.184857   171  0.054519  0.0000 0.000613 0.000710 0.002526 -0.061520  0.055639 -0.179968
HILB 02APR26 2002.3162 52390 1163 5  -79.1   -228 -0.125604   3991405  0.186776   171  0.059333  0.0000 0.000608 0.000705 0.002482 -0.069670  0.057353 -0.192108
HILB 02APR27 2002.3190 52391 1163 6  -79.1   -228 -0.125125   3991405  0.185301   171  0.062321  0.0000 0.000602 0.000688 0.002424 -0.077182  0.053939 -0.191332
HILB 02APR28 2002.3217 52392 1164 0  -79.1   -228 -0.122742   3991405  0.183234   171  0.067296  0.0000 0.000600 0.000691 0.002426 -0.070211  0.056017 -0.179571
HILB 02APR29 2002.3244 52393 1164 1  -79.1   -228 -0.125013   3991405  0.185484   171  0.063068  0.0000 0.000612 0.000707 0.002454 -0.099405  0.062111 -0.188356
HILB 02APR30 2002.3272 52394 1164 2  -79.1   -228 -0.124577   3991405  0.184288   171  0.059678  0.0000 0.000632 0.000702 0.002467 -0.106414  0.065562 -0.163396
HILB 02MAY01 2002.3299 52395 1164 3  -79.1   -228 -0.124008   3991405  0.186498   171  0.058886  0.0000 0.000729 0.000765 0.002726 -0.130764  0.102703 -0.176189
HILB 02MAY02 2002.3326 52396 1164 4  -79.1   -228 -0.125944   3991405  0.186224   171  0.057881  0.0000 0.000765 0.000825 0.002951 -0.103925  0.089890 -0.200077
HILB 02MAY03 2002.3354 52397 1164 5  -79.1   -228 -0.125935   3991405  0.185702   171  0.062266  0.0000 0.000618 0.000712 0.002479 -0.101413  0.058761 -0.189124
HILB 02MAY04 2002.3381 52398 1164 6  -79.1   -228 -0.124539   3991405  0.187080   171  0.065245  0.0000 0.000600 0.000685 0.002388 -0.078918  0.071677 -0.174678
