site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AZVA 11FEB16 2011.1266 55608 1623 3 -110.8   2807  0.914267   3536760  0.267387  1010  0.162662  0.0000 0.000494 0.000583 0.001903 -0.003841 -0.036075 -0.082946
AZVA 11FEB17 2011.1294 55609 1623 4 -110.8   2807  0.916650   3536760  0.266826  1010  0.148105  0.0000 0.000456 0.000543 0.001767  0.035622 -0.056966 -0.099607
AZVA 11FEB18 2011.1321 55610 1623 5 -110.8   2807  0.917244   3536760  0.266920  1010  0.153302  0.0000 0.000459 0.000544 0.001782  0.050201 -0.079879 -0.096590
AZVA 11FEB19 2011.1348 55611 1623 6 -110.8   2807  0.913589   3536760  0.270190  1010  0.155069  0.0000 0.000458 0.000545 0.001785  0.041122 -0.079109 -0.099126
AZVA 11FEB20 2011.1376 55612 1624 0 -110.8   2807  0.915038   3536760  0.269244  1010  0.148852  0.0000 0.000459 0.000543 0.001794  0.043994 -0.081640 -0.102553
AZVA 11FEB21 2011.1403 55613 1624 1 -110.8   2807  0.914316   3536760  0.269217  1010  0.157743  0.0000 0.000456 0.000549 0.001792  0.031297 -0.052356 -0.085823
AZVA 11FEB22 2011.1431 55614 1624 2 -110.8   2807  0.916977   3536760  0.268384  1010  0.151783  0.0000 0.000455 0.000542 0.001779  0.034604 -0.040938 -0.114042
AZVA 11FEB23 2011.1458 55615 1624 3 -110.8   2807  0.915992   3536760  0.269365  1010  0.146850  0.0000 0.000468 0.000546 0.001812  0.054253 -0.041187 -0.119129
AZVA 11FEB24 2011.1485 55616 1624 4 -110.8   2807  0.917835   3536760  0.269848  1010  0.153518  0.0000 0.000451 0.000542 0.001766  0.034345 -0.065329 -0.096003
AZVA 11FEB25 2011.1513 55617 1624 5 -110.8   2807  0.918167   3536760  0.272544  1010  0.157649  0.0000 0.000451 0.000542 0.001765  0.037921 -0.058877 -0.105192
AZVA 11FEB26 2011.1540 55618 1624 6 -110.8   2807  0.915459   3536760  0.271927  1010  0.158481  0.0000 0.000454 0.000551 0.001786  0.027097 -0.060891 -0.085264
AZVA 11FEB27 2011.1567 55619 1625 0 -110.8   2807  0.914902   3536760  0.270087  1010  0.152534  0.0000 0.000459 0.000548 0.001796  0.040632 -0.071227 -0.102753
AZVA 11FEB28 2011.1595 55620 1625 1 -110.8   2807  0.913743   3536760  0.269772  1010  0.153180  0.0000 0.000454 0.000540 0.001777  0.038408 -0.063552 -0.103890
AZVA 11MAR01 2011.1622 55621 1625 2 -110.8   2807  0.914816   3536760  0.270556  1010  0.160889  0.0000 0.000453 0.000540 0.001779  0.039901 -0.043901 -0.112836
AZVA 11MAR02 2011.1650 55622 1625 3 -110.8   2807  0.914365   3536760  0.271848  1010  0.160350  0.0000 0.000453 0.000542 0.001779  0.044649 -0.068410 -0.112016
AZVA 11MAR03 2011.1677 55623 1625 4 -110.8   2807  0.916714   3536760  0.269888  1010  0.156651  0.0000 0.000453 0.000541 0.001773  0.035881 -0.065848 -0.098026
AZVA 11MAR04 2011.1704 55624 1625 5 -110.8   2807  0.913901   3536760  0.268399  1010  0.147179  0.0000 0.000454 0.000542 0.001780  0.031003 -0.051189 -0.098152
AZVA 11MAR05 2011.1732 55625 1625 6 -110.8   2807  0.918394   3536760  0.270753  1010  0.152485  0.0000 0.000453 0.000540 0.001779  0.034632 -0.046078 -0.101871
AZVA 11MAR06 2011.1759 55626 1626 0 -110.8   2807  0.918178   3536760  0.268765  1010  0.154295  0.0000 0.000453 0.000541 0.001769  0.025218 -0.035644 -0.099805
AZVA 11MAR07 2011.1786 55627 1626 1 -110.8   2807  0.915417   3536760  0.270151  1010  0.163744  0.0000 0.000450 0.000539 0.001771  0.039310 -0.050344 -0.109000
AZVA 11MAR08 2011.1814 55628 1626 2 -110.8   2807  0.915030   3536760  0.268951  1010  0.155078  0.0000 0.000451 0.000537 0.001761  0.044883 -0.052382 -0.112030
